source_table,validation,model,model_ru,feature_set,n_features,accuracy,balanced_accuracy,f1,mcc,pr_auc,roc_auc,sensitivity,specificity
full_feature_space_metrics_df,cv_oof,logreg,Логистическая регрессия,all_clean_features,302.0,0.933 [0.890; 0.970],0.939 [0.902; 0.973],0.937 [0.897; 0.973],0.871 [0.797; 0.941],0.992 [0.981; 0.999],0.987 [0.967; 0.999],0.891 [0.825; 0.955],0.986 [0.955; 1.000]
full_feature_space_metrics_df,cv_oof,rf,Случайный лес,all_clean_features,302.0,0.976 [0.951; 0.994],0.975 [0.949; 0.995],0.978 [0.955; 0.995],0.950 [0.900; 0.988],0.998 [0.992; 1.000],0.997 [0.990; 1.000],0.978 [0.944; 1.000],0.972 [0.929; 1.000]
full_feature_space_metrics_df,cv_oof,svc_rbf,SVM с RBF-ядром,all_clean_features,302.0,0.945 [0.902; 0.976],0.944 [0.901; 0.976],0.951 [0.914; 0.980],0.888 [0.804; 0.951],0.991 [0.979; 0.998],0.987 [0.972; 0.997],0.957 [0.911; 0.990],0.931 [0.862; 0.985]
full_feature_space_metrics_df,holdout,logreg,Логистическая регрессия,all_clean_features,302.0,0.939 [0.848; 1.000],0.947 [0.868; 1.000],0.944 [0.848; 1.000],0.885 [0.729; 1.000],1.000 [1.000; 1.000],1.000 [1.000; 1.000],0.895 [0.737; 1.000],1.000 [1.000; 1.000]
full_feature_space_metrics_df,holdout,rf,Случайный лес,all_clean_features,302.0,0.909 [0.818; 1.000],0.902 [0.786; 1.000],0.923 [0.818; 1.000],0.814 [0.587; 1.000],0.995 [0.976; 1.000],0.992 [0.965; 1.000],0.947 [0.824; 1.000],0.857 [0.643; 1.000]
full_feature_space_metrics_df,holdout,svc_rbf,SVM с RBF-ядром,all_clean_features,302.0,0.939 [0.848; 1.000],0.938 [0.841; 1.000],0.947 [0.857; 1.000],0.876 [0.694; 1.000],0.995 [0.975; 1.000],0.992 [0.966; 1.000],0.947 [0.818; 1.000],0.929 [0.769; 1.000]
holdout_block_metrics_long_df,holdout,logreg,Логистическая регрессия,alpha_peak,15.0,0.727 [0.576; 0.879],0.716 [0.544; 0.879],0.769 [0.594; 0.905],0.437 [0.089; 0.759],0.899 [0.768; 0.980],0.842 [0.684; 0.963],0.789 [0.600; 0.950],0.643 [0.357; 0.900]
holdout_block_metrics_long_df,holdout,logreg,Логистическая регрессия,aper,31.0,0.818 [0.667; 0.939],0.814 [0.663; 0.938],0.842 [0.692; 0.947],0.628 [0.332; 0.876],0.949 [0.873; 0.995],0.910 [0.792; 0.993],0.842 [0.667; 1.000],0.786 [0.545; 1.000]
holdout_block_metrics_long_df,holdout,logreg,Логистическая регрессия,burst,40.0,0.818 [0.667; 0.939],0.805 [0.656; 0.935],0.850 [0.706; 0.950],0.626 [0.336; 0.876],0.944 [0.854; 0.998],0.914 [0.789; 0.996],0.895 [0.737; 1.000],0.714 [0.455; 0.929]
holdout_block_metrics_long_df,holdout,logreg,Логистическая регрессия,conn,172.0,0.909 [0.788; 1.000],0.921 [0.825; 1.000],0.914 [0.788; 1.000],0.833 [0.650; 1.000],0.992 [0.963; 1.000],0.989 [0.952; 1.000],0.842 [0.650; 1.000],1.000 [1.000; 1.000]
