feature,feature_ru,block,block_ru,roc_auc_raw,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,p_mannwhitney,missing_rate,std,q_fdr
conn__mean_strength__plv_theta,Функциональная связность · mean strength · plv theta,conn,Функциональная связность,0.26388888888888884,0.7361111111111112,-0.7592799904636308,0.7592799904636308,2.2108403161754152e-07,0.0,0.13963898243164896,1.4274338563132572e-06
aper__aperiodic_intercept_log10__occipital,Апериодический компонент · Апериодический компонентiodic intercept log10 · occipital,aper,Апериодический компонент,0.7356582125603865,0.7356582125603865,0.8614408481124481,0.8614408481124481,2.331753152613854e-07,0.0,0.4897321606106593,1.4734695453751375e-06
aper__aperiodic_slope__central,Апериодический компонент · Апериодический компонентiodic slope · central,aper,Апериодический компонент,0.2660024154589372,0.7339975845410628,-0.9095961341514031,0.9095961341514031,2.8321691602350554e-07,0.0,0.41561788374341163,1.7166413073261458e-06
aper__aperiodic_exponent__central,Апериодический компонент · Апериодический компонентiodic exponent · central,aper,Апериодический компонент,0.7339975845410628,0.7339975845410628,0.9095961341514031,0.9095961341514031,2.8321691602350554e-07,0.0,0.41561788374341163,1.7166413073261458e-06
conn__asymmetry__pdc_beta,Функциональная связность · asymmetry · pdc beta,conn,Функциональная связность,0.2688707729468599,0.7311292270531401,-0.8548326794879458,0.8548326794879458,3.950462452242334e-07,0.0,0.14721023294153213,2.3005634280705358e-06
conn__n_hubs__plv_delta,Функциональная связность · n hubs · plv delta,conn,Функциональная связность,0.27015398550724634,0.7298460144927537,-0.9662551376690595,0.9662551376690595,3.0864102967097694e-08,0.0,0.459982072304091,2.2916596453070037e-07
event__auc_abs_uvs,Транзиентные события · auc abs uvs,event,Транзиентные события,0.7297705314009663,0.7297705314009663,0.6729617247212687,0.6729617247212687,4.6187796226698e-07,0.0,0.5381597070131305,2.638033746024866e-06
event__sharpness_uv,Транзиентные события · sharpness uv,event,Транзиентные события,0.7294685990338163,0.7294685990338163,0.5980659462960258,0.5980659462960258,4.781462641727354e-07,0.0,5.077227732105493,2.679423404892498e-06
conn__global_efficiency__pdc_alpha,Функциональная связность · global efficiency · pdc alpha,conn,Функциональная связность,0.271286231884058,0.728713768115942,-0.9096515882681813,0.9096515882681813,5.212713268295296e-07,0.0,0.02515566724660191,2.8669922975624127e-06
spec_shape__sef95_hz__temporal,Форма спектра · sef95 hz · temporal,spec_shape,Форма спектра,0.2747584541062802,0.7252415458937198,-0.832347289726649,0.832347289726649,7.728457131884436e-07,0.0,6.388041970296792,4.173366851217596e-06
spec_shape__sef95_hz__central,Форма спектра · sef95 hz · central,spec_shape,Форма спектра,0.2758152173913044,0.7241847826086956,-0.9033915499490599,0.9033915499490599,8.702840379801742e-07,0.0,5.85571939746753,4.615613558573424e-06
conn__n_hubs__coh_delta,Функциональная связность · n hubs · coh delta,conn,Функциональная связность,0.27747584541062803,0.7225241545893719,-0.9643291397142586,0.9643291397142586,8.492814674644174e-09,0.0,0.38433986608096155,8.136664381836515e-08
conn__hub_z_max__pdc_alpha,Функциональная связность · hub z max · pdc alpha,conn,Функциональная связность,0.2821557971014493,0.7178442028985508,-0.7888993830744875,0.7888993830744875,1.7552167158263862e-06,0.0,0.2180616287231539,8.987920079317873e-06
alpha_peak__alpha_peak_db__parietal,Альфа-пик · Альфа-пик db · parietal,alpha_peak,Альфа-пик,0.7140700483091786,0.7140700483091786,0.7342473181696393,0.7342473181696393,2.641362936204265e-06,0.0,2.3826420640047297,1.3296352407672318e-05
dfa__dfa_exp__central_alpha,DFA · DFA exp · central alpha,dfa,DFA,0.712409420289855,0.712409420289855,0.8017442787829143,0.8017442787829143,3.1551267390737137e-06,0.0,0.09082848283920214,1.5617877358414882e-05
conn__hub_z_max__plv_theta,Функциональная связность · hub z max · plv theta,conn,Функциональная связность,0.2881944444444444,0.7118055555555556,-0.8200868154459982,0.8200868154459982,3.3647098836431594e-06,0.0,0.11871362734318079,1.611804573293578e-05
conn__global_efficiency__plv_delta,Функциональная связность · global efficiency · plv delta,conn,Функциональная связность,0.2881944444444444,0.7118055555555556,-0.7588676551431861,0.7588676551431861,3.3647098836431594e-06,0.0,0.035325150439280625,1.611804573293578e-05
conn__asymmetry__dtf_beta,Функциональная связность · asymmetry · dtf beta,conn,Функциональная связность,0.2886473429951691,0.711352657004831,-0.7839986104287673,0.7839986104287673,3.5305918352665683e-06,0.0,0.204216067532231,1.6644218651970965e-05
conn__clustering__plv_alpha,Функциональная связность · clustering · plv alpha,conn,Функциональная связность,0.2910628019323671,0.7089371980676329,-0.7625490190397487,0.7625490190397487,4.556336049046845e-06,0.0,0.07108610569262865,2.1144246977608015e-05
conn__clustering__coh_beta,Функциональная связность · clustering · coh beta,conn,Функциональная связность,0.29181763285024154,0.7081823671497585,-0.6260046939048262,0.6260046939048262,4.931623101851013e-06,0.0,0.04117312431524125,2.253372401922694e-05
conn__global_efficiency__pdc_theta,Функциональная связность · global efficiency · pdc theta,conn,Функциональная связность,0.29332729468599034,0.7066727053140096,-0.7381213535840112,0.7381213535840112,5.7728164938916585e-06,0.0,0.02218369784835851,2.597767422251246e-05
burst__rate_per_min__parietal_beta,Burst-активность · rate per min · parietal beta,burst,Burst-активность,0.7048611111111113,0.7048611111111113,0.7469014001846134,0.7469014001846134,6.956842193252263e-06,0.0,4.627922499740831,3.0838539274566e-05
conn__clustering__pdc_theta,Функциональная связность · clustering · pdc theta,conn,Функциональная связность,0.7032004830917875,0.7032004830917875,0.7278333162608164,0.7278333162608164,8.260074823400052e-06,0.0,0.09819313728984629,3.607709150808552e-05
conn__clustering__pdc_delta,Функциональная связность · clustering · pdc delta,conn,Функциональная связность,0.7027475845410629,0.7027475845410629,0.731526152725907,0.731526152725907,8.651663508264488e-06,0.0,0.1014756735091431,3.72397690138341e-05
conn__hub_z_max__pdc_beta,Функциональная связность · hub z max · pdc beta,conn,Функциональная связность,0.2995169082125604,0.7004830917874396,-0.759152883308247,0.759152883308247,1.0890797097255021e-05,0.0,0.20229051268382275,4.6208096255496306e-05
conn__n_hubs__plv_beta,Функциональная связность · n hubs · plv beta,conn,Функциональная связность,0.2996678743961353,0.7003321256038647,-0.7873692003314003,0.7873692003314003,1.3416651719907662e-06,0.0,0.4409152202066459,6.990781685636098e-06
spec_shape__spectral_entropy_raw__parietal,Форма спектра · spectral entropy raw · parietal,spec_shape,Форма спектра,0.3002717391304348,0.6997282608695652,-0.7483586790795292,0.7483586790795292,1.1753056570960446e-05,0.0,0.31356699020551093,4.848135835521184e-05
spec_shape__spectral_entropy_norm__parietal,Форма спектра · spectral entropy norm · parietal,spec_shape,Форма спектра,0.3002717391304348,0.6997282608695652,-0.7483586790795274,0.7483586790795274,1.1753056570960446e-05,0.0,0.06057919619910038,4.848135835521184e-05
alpha_peak__alpha_peak_db__occipital,Альфа-пик · Альфа-пик db · occipital,alpha_peak,Альфа-пик,0.6953502415458938,0.6953502415458938,0.6848100466600096,0.6848100466600096,1.818967324905854e-05,0.0,2.1650417069641823,7.203110606627183e-05
conn__global_efficiency__coh_theta,Функциональная связность · global efficiency · coh theta,conn,Функциональная связность,0.3046497584541063,0.6953502415458936,-0.5173496706386319,0.5173496706386319,1.818967324905854e-05,0.0,0.04338829470025322,7.203110606627183e-05
burst__rate_per_min__temporal_beta,Burst-активность · rate per min · temporal beta,burst,Burst-активность,0.6925573671497585,0.6925573671497585,0.6829507703346366,0.6829507703346366,2.3905032851847757e-05,0.0,6.190605486696331,9.341835206577347e-05
conn__clustering__pdc_alpha,Функциональная связность · clustering · pdc alpha,conn,Функциональная связность,0.6917270531400965,0.6917270531400965,0.7060071018433022,0.7060071018433022,2.5935273940482635e-05,0.0,0.09956983624221598,0.00010003605662757588
burst__rate_per_min__frontal_beta,Burst-активность · rate per min · frontal beta,burst,Burst-активность,0.6911986714975845,0.6911986714975845,0.6772754937316076,0.6772754937316076,2.7268640555254815e-05,0.0,5.108681093193969,0.00010383059288347026
spec_shape__sef95_hz__parietal,Форма спектра · sef95 hz · parietal,spec_shape,Форма спектра,0.3090277777777778,0.6909722222222222,-0.756622026328052,0.756622026328052,2.7903393457278657e-05,0.0,5.932077881466817,0.00010490263109888305
conn__clustering__coh_delta,Функциональная связность · clustering · coh delta,conn,Функциональная связность,0.31265096618357485,0.6873490338164252,-0.3243590535632492,0.3243590535632492,3.949553534856748e-05,0.0,0.08558231033125922,0.00014662717498155675
alpha_peak__alpha_peak_db__temporal,Альфа-пик · Альфа-пик db · temporal,alpha_peak,Альфа-пик,0.6870471014492754,0.6870471014492754,0.6155726230900066,0.6155726230900066,4.0644686388000466e-05,0.0,1.9403962406808315,0.0001490305167560017
burst__pct_time__temporal_alpha,Burst-активность · pct time · temporal alpha,burst,Burst-активность,0.6856884057971013,0.6856884057971013,0.6745289720101295,0.6745289720101295,4.621938611092181e-05,0.0,2.1483524155297626,0.00016740436188955826
burst__rate_per_min__occipital_beta,Burst-активность · rate per min · occipital beta,burst,Burst-активность,0.6831974637681159,0.6831974637681159,0.6283257107284206,0.6283257107284206,5.833395842127809e-05,0.0,7.031152031509,0.00020873717651951316
burst__mean_amp__parietal_alpha,Burst-активность · mean amp · parietal alpha,burst,Burst-активность,0.6796497584541064,0.6796497584541064,0.5999834756548323,0.5999834756548323,8.099997874557217e-05,0.0,3.7109100097304068e-06,0.00028639278199327304
conn__global_efficiency__dtf_delta,Функциональная связность · global efficiency · dtf delta,conn,Функциональная связность,0.6784420289855072,0.6784420289855072,0.7063958136276363,0.7063958136276363,9.043647483725387e-05,0.0,0.033673912527279776,0.00031599568266663997
conn__clustering__plv_beta,Функциональная связность · clustering · plv beta,conn,Функциональная связность,0.3220108695652174,0.6779891304347826,-0.5645545739450836,0.5645545739450836,9.42357638926971e-05,0.0,0.048411422614254136,0.000325442114838733
conn__hub_z_max__plv_alpha,Функциональная связность · hub z max · plv alpha,conn,Функциональная связность,0.3229166666666667,0.6770833333333333,-0.6960530067314463,0.6960530067314463,0.00010229102083860137,0.0,0.13165764408926028,0.00034920038148350123
dfa__dfa_exp__temporal_alpha,DFA · DFA exp · temporal alpha,dfa,DFA,0.6769323671497585,0.6769323671497585,0.5709800373884085,0.5709800373884085,0.00010369518622356321,0.0,0.08770578963668918,0.00034997125350452583
event__spread_rois,Транзиентные события · spread rois,event,Транзиентные события,0.673762077294686,0.673762077294686,0.7844654110686076,0.7844654110686076,3.212378567073157e-07,0.0,0.3715386556407504,1.908152868841455e-06
burst__pct_time__occipital_beta,Burst-активность · pct time · occipital beta,burst,Burst-активность,0.6733091787439613,0.6733091787439613,0.6372824145705441,0.6372824145705441,0.00014337633700701026,0.0,1.4368762204077907,0.0004784581133829444
conn__n_hubs__plv_theta,Функциональная связность · n hubs · plv theta,conn,Функциональная связность,0.3277475845410628,0.6722524154589372,-0.6844531822057338,0.6844531822057338,1.2134218444590414e-05,0.0,0.42633900415096926,4.9367984630730855e-05
conn__asymmetry__pdc_alpha,Функциональная связность · asymmetry · pdc alpha,conn,Функциональная связность,0.32895531400966177,0.6710446859903383,-0.6024872606759792,0.6024872606759792,0.0001750436247627207,0.0,0.1463934501719685,0.0005712962258739346
conn__hub_z_max__pdc_theta,Функциональная связность · hub z max · pdc theta,conn,Функциональная связность,0.3289553140096618,0.6710446859903382,-0.5938876305030034,0.5938876305030034,0.0001750436247627207,0.0,0.22014592456155668,0.0005712962258739346
dfa__dfa_exp__occipital_beta,DFA · DFA exp · occipital beta,dfa,DFA,0.6708937198067634,0.6708937198067634,0.563525356739438,0.563525356739438,0.0001773724675469711,0.0,0.07160835667466442,0.0005726045963201133
conn__hub_z_max__dtf_beta,Функциональная связность · hub z max · dtf beta,conn,Функциональная связность,0.6680253623188407,0.6680253623188407,0.5017063018020019,0.5017063018020019,0.00022755454853086562,0.0,0.1988488471482384,0.0007189755416347563
conn__global_efficiency__pdc_delta,Функциональная связность · global efficiency · pdc delta,conn,Функциональная связность,0.3319746376811594,0.6680253623188406,-0.5371713926740077,0.5371713926740077,0.00022755006707985738,0.0,0.020537466584211586,0.0007189755416347563
burst__mean_peak__parietal_alpha,Burst-активность · mean peak · parietal alpha,burst,Burst-активность,0.667572463768116,0.667572463768116,0.5609936738958551,0.5609936738958551,0.00023660314666232107,0.0,4.455328774740202e-06,0.0007396961532495722
alpha_peak__alpha_peak_db__central,Альфа-пик · Альфа-пик db · central,alpha_peak,Альфа-пик,0.6666666666666666,0.6666666666666666,0.5577680323879399,0.5577680323879399,0.00025572229542843416,0.0,2.0997050407862465,0.0007911408514817182
conn__hub_z_max__dtf_theta,Функциональная связность · hub z max · dtf theta,conn,Функциональная связность,0.6644021739130435,0.6644021739130435,0.484558757326689,0.484558757326689,0.0003100473769033234,0.0,0.19744389505220805,0.0009493203189720315
conn__asymmetry__dtf_delta,Функциональная связность · asymmetry · dtf delta,conn,Функциональная связность,0.3393719806763285,0.6606280193236715,-0.527881446070004,0.527881446070004,0.0004252133550138109,0.0,0.2303844036294573,0.0012886568003989984
alpha_peak__alpha_peak_db__frontal,Альфа-пик · Альфа-пик db · frontal,alpha_peak,Альфа-пик,0.6601751207729469,0.6601751207729469,0.5681417948736062,0.5681417948736062,0.0004414477091684876,0.0,1.6344461920210556,0.0013243431275054627
conn__asymmetry__pdc_delta,Функциональная связность · asymmetry · pdc delta,conn,Функциональная связность,0.3405797101449275,0.6594202898550725,-0.5575351161724661,0.5575351161724661,0.0004697966587647662,0.0,0.15235251020051027,0.0013952960765313556
event__energy_uv2s,Транзиентные события · energy uv2s,event,Транзиентные события,0.6592693236714976,0.6592693236714976,0.4195080876406125,0.4195080876406125,0.0004756664975013784,0.0,29.767422583778014,0.001398742076810984
conn__global_efficiency__dtf_beta,Функциональная связность · global efficiency · dtf beta,conn,Функциональная связность,0.6565519323671498,0.6565519323671498,0.5628229382193644,0.5628229382193644,0.0005937472514422461,0.0,0.029986341947784406,0.0017288522909641871
aper__aperiodic_exponent__occipital,Апериодический компонент · Апериодический компонентiodic exponent · occipital,aper,Апериодический компонент,0.6559480676328503,0.6559480676328503,0.5979646438812802,0.5979646438812802,0.0006234531050451045,0.0,0.334062607421762,0.0017804381942153466
aper__aperiodic_slope__occipital,Апериодический компонент · Апериодический компонентiodic slope · occipital,aper,Апериодический компонент,0.34405193236714976,0.6559480676328502,-0.5979646438812802,0.5979646438812802,0.0006234531050451045,0.0,0.334062607421762,0.0017804381942153466
conn__mean_strength__coh_theta,Функциональная связность · mean strength · coh theta,conn,Функциональная связность,0.35129830917874394,0.6487016908212561,-0.3034490164493696,0.3034490164493696,0.0011056979084365665,0.0,0.16498964188928833,0.0030690867178099087
conn__asymmetry__pdc_theta,Функциональная связность · asymmetry · pdc theta,conn,Функциональная связность,0.356280193236715,0.643719806763285,-0.44180950633891797,0.44180950633891797,0.0016170910280318455,0.0,0.1508382257074453,0.004447000327087575
burst__mean_amp__occipital_alpha,Burst-активность · mean amp · occipital alpha,burst,Burst-активность,0.6435688405797101,0.6435688405797101,0.3883869241074725,0.3883869241074725,0.0016355417774557238,0.0,5.7394151408033836e-06,0.004456476219305963
aper__alpha_peak_cf_hz__frontal,Апериодический компонент · Альфа-пик cf hz · frontal,aper,Апериодический компонент,0.6410024154589373,0.6410024154589373,0.41239588356601803,0.41239588356601803,0.001956645799107024,0.0,1.5927864851197884,0.0051886053779891615
burst__mean_peak__occipital_alpha,Burst-активность · mean peak · occipital alpha,burst,Burst-активность,0.640096618357488,0.640096618357488,0.34965219518371987,0.34965219518371987,0.0021171833868263317,0.0,7.080633781663071e-06,0.005564632441481598
conn__global_efficiency__dtf_theta,Функциональная связность · global efficiency · dtf theta,conn,Функциональная связность,0.6397946859903382,0.6397946859903382,0.4788948398884144,0.4788948398884144,0.002164685865436387,0.0,0.029868995078408022,0.005639576333636902
burst__pct_time__parietal_beta,Burst-активность · pct time · parietal beta,burst,Burst-активность,0.6378321256038647,0.6378321256038647,0.5297890577783736,0.5297890577783736,0.0024980355764154744,0.0,1.2793970795667942,0.006395832467201689
conn__hub_z_max__coh_alpha,Функциональная связность · hub z max · coh alpha,conn,Функциональная связность,0.36262077294685996,0.63737922705314,-0.4546470292021562,0.4546470292021562,0.0025813496856274282,0.0,0.11801684157708135,0.00655265689428501
conn__global_efficiency__coh_delta,Функциональная связность · global efficiency · coh delta,conn,Функциональная связность,0.3627717391304348,0.6372282608695652,-0.21837651965054147,0.21837651965054147,0.0026096807349210082,0.0,0.06695868780790203,0.006568433714165589
conn__mean_strength__dtf_delta,Функциональная связность · mean strength · dtf delta,conn,Функциональная связность,0.6364734299516908,0.6364734299516908,0.5229872823225812,0.5229872823225812,0.0027556469961057765,0.0,0.09882235645575455,0.0068775391415413075
conn__clustering__dtf_theta,Функциональная связность · clustering · dtf theta,conn,Функциональная связность,0.3650362318840579,0.6349637681159421,-0.39649315503371446,0.39649315503371446,0.0030701792727249465,0.0,0.06895688269998483,0.0075358945785066874
burst__pct_time__frontal_beta,Burst-активность · pct time · frontal beta,burst,Burst-активность,0.6337560386473431,0.6337560386473431,0.5082967629527384,0.5082967629527384,0.003344836029032575,0.0,1.2319147251782607,0.00814275656248094
conn__modularity__dtf_beta,Функциональная связность · modularity · dtf beta,conn,Функциональная связность,0.3676026570048309,0.632397342995169,-0.48300312549203617,0.48300312549203617,0.0007795422857342289,0.0,0.09011663063559988,0.0022049910367911043
