feature_set,model,feature,n_selected_folds
dfa,logreg,dfa__dfa_exp__parietal_beta,5
dfa,logreg,dfa__dfa_exp__temporal_alpha,5
dfa,logreg,dfa__dfa_exp__temporal_beta,5
dfa,rf,dfa__dfa_exp__central_alpha,5
dfa,rf,dfa__dfa_exp__central_beta,5
dfa,rf,dfa__dfa_exp__frontal_alpha,5
dfa,rf,dfa__dfa_exp__frontal_beta,5
dfa,rf,dfa__dfa_exp__occipital_alpha,5
dfa,rf,dfa__dfa_exp__occipital_beta,5
dfa,rf,dfa__dfa_exp__parietal_alpha,5
dfa,rf,dfa__dfa_exp__parietal_beta,5
dfa,rf,dfa__dfa_exp__temporal_alpha,5
dfa,rf,dfa__dfa_exp__temporal_beta,5
dfa,svc_rbf,dfa__dfa_exp__central_alpha,5
dfa,svc_rbf,dfa__dfa_exp__central_beta,5
dfa,svc_rbf,dfa__dfa_exp__frontal_alpha,5
dfa,svc_rbf,dfa__dfa_exp__frontal_beta,5
dfa,svc_rbf,dfa__dfa_exp__occipital_alpha,5
dfa,svc_rbf,dfa__dfa_exp__occipital_beta,5
dfa,svc_rbf,dfa__dfa_exp__parietal_alpha,5
dfa,svc_rbf,dfa__dfa_exp__parietal_beta,5
dfa,svc_rbf,dfa__dfa_exp__temporal_alpha,5
dfa,svc_rbf,dfa__dfa_exp__temporal_beta,5
event,logreg,event__line_length_uv,5
event,logreg,event__n_involved_ch,5
event,logreg,event__peak_to_peak_uv,5
event,logreg,event__propagation_ms,5
event,logreg,event__slope_rise_uvs,5
event,logreg,event__slow_peak_uv,5
event,logreg,event__spike_to_slow_ratio,5
event,logreg,event__z_peak,5
event,logreg,event__auc_abs_uvs,4
event,logreg,event__slope_fall_uvs,4
event,logreg,event__sharpness_uv,2
event,rf,event__line_length_uv,5
event,rf,event__n_involved_ch,5
event,rf,event__peak_to_peak_uv,5
event,rf,event__propagation_ms,5
event,rf,event__slope_rise_uvs,5
event,rf,event__slow_peak_uv,5
event,rf,event__spike_to_slow_ratio,5
event,rf,event__z_peak,5
event,rf,event__auc_abs_uvs,4
event,rf,event__slope_fall_uvs,4
event,rf,event__sharpness_uv,2
event,svc_rbf,event__line_length_uv,5
event,svc_rbf,event__n_involved_ch,5
event,svc_rbf,event__peak_to_peak_uv,5
event,svc_rbf,event__propagation_ms,5
event,svc_rbf,event__slope_rise_uvs,5
event,svc_rbf,event__slow_peak_uv,5
event,svc_rbf,event__spike_to_slow_ratio,5
event,svc_rbf,event__z_peak,5
event,svc_rbf,event__auc_abs_uvs,4
event,svc_rbf,event__slope_fall_uvs,4
event,svc_rbf,event__sharpness_uv,2
spec_shape,logreg,spec_shape__sef95_hz__frontal,5
spec_shape,logreg,spec_shape__sef95_hz__temporal,5
spec_shape,logreg,spec_shape__spectral_entropy_norm__central,5
spec_shape,logreg,spec_shape__spectral_entropy_norm__frontal,5
spec_shape,logreg,spec_shape__spectral_entropy_norm__temporal,5
spec_shape,logreg,spec_shape__spectral_entropy_raw__central,5
spec_shape,logreg,spec_shape__spectral_entropy_raw__frontal,5
spec_shape,logreg,spec_shape__spectral_entropy_raw__temporal,5
spec_shape,logreg,spec_shape__sef95_hz__central,4
spec_shape,logreg,spec_shape__spectral_entropy_raw__parietal,3
spec_shape,logreg,spec_shape__sef95_hz__parietal,2
spec_shape,logreg,spec_shape__spectral_entropy_norm__parietal,1
spec_shape,rf,spec_shape__sef95_hz__frontal,5
spec_shape,rf,spec_shape__sef95_hz__temporal,5
spec_shape,rf,spec_shape__spectral_entropy_norm__central,5
spec_shape,rf,spec_shape__spectral_entropy_norm__frontal,5
spec_shape,rf,spec_shape__spectral_entropy_norm__temporal,5
spec_shape,rf,spec_shape__spectral_entropy_raw__central,5
spec_shape,rf,spec_shape__spectral_entropy_raw__frontal,5
spec_shape,rf,spec_shape__spectral_entropy_raw__temporal,5
spec_shape,rf,spec_shape__sef95_hz__central,4
spec_shape,rf,spec_shape__spectral_entropy_raw__parietal,3
spec_shape,rf,spec_shape__sef95_hz__parietal,2
spec_shape,rf,spec_shape__spectral_entropy_norm__parietal,1
spec_shape,svc_rbf,spec_shape__sef95_hz__frontal,5
spec_shape,svc_rbf,spec_shape__sef95_hz__temporal,5
spec_shape,svc_rbf,spec_shape__spectral_entropy_norm__central,5
spec_shape,svc_rbf,spec_shape__spectral_entropy_norm__frontal,5
spec_shape,svc_rbf,spec_shape__spectral_entropy_norm__temporal,5
spec_shape,svc_rbf,spec_shape__spectral_entropy_raw__central,5
spec_shape,svc_rbf,spec_shape__spectral_entropy_raw__frontal,5
spec_shape,svc_rbf,spec_shape__spectral_entropy_raw__temporal,5
spec_shape,svc_rbf,spec_shape__sef95_hz__central,4
spec_shape,svc_rbf,spec_shape__spectral_entropy_raw__parietal,3
spec_shape,svc_rbf,spec_shape__sef95_hz__parietal,2
spec_shape,svc_rbf,spec_shape__spectral_entropy_norm__parietal,1
spectral_baseline,logreg,aper__aperiodic_exponent__frontal,5
spectral_baseline,logreg,aper__aperiodic_intercept_log10__frontal,5
spectral_baseline,logreg,aper__aperiodic_intercept_log10__parietal,5
spectral_baseline,logreg,aper__aperiodic_intercept_log10__temporal,5
spectral_baseline,logreg,aper__aperiodic_intercept_log10__central,4
spectral_baseline,logreg,aper__aperiodic_slope__frontal,4
spectral_baseline,logreg,spec_shape__spectral_entropy_norm__central,4
spectral_baseline,logreg,spec_shape__spectral_entropy_raw__central,4
spectral_baseline,logreg,aper__aperiodic_exponent__parietal,3
spectral_baseline,logreg,aper__aperiodic_slope__parietal,3
spectral_baseline,logreg,spec_shape__spectral_entropy_norm__frontal,3
spectral_baseline,logreg,spec_shape__spectral_entropy_raw__frontal,3
spectral_baseline,logreg,aper__aperiodic_exponent__temporal,1
spectral_baseline,logreg,aper__aperiodic_slope__temporal,1
spectral_baseline,rf,aper__aperiodic_exponent__frontal,5
spectral_baseline,rf,aper__aperiodic_intercept_log10__frontal,5
spectral_baseline,rf,aper__aperiodic_intercept_log10__parietal,5
spectral_baseline,rf,aper__aperiodic_intercept_log10__temporal,5
spectral_baseline,rf,aper__aperiodic_intercept_log10__central,4
spectral_baseline,rf,aper__aperiodic_slope__frontal,4
spectral_baseline,rf,spec_shape__spectral_entropy_norm__central,4
spectral_baseline,rf,spec_shape__spectral_entropy_raw__central,4
spectral_baseline,rf,aper__aperiodic_exponent__parietal,3
spectral_baseline,rf,aper__aperiodic_slope__parietal,3
spectral_baseline,rf,spec_shape__spectral_entropy_norm__frontal,3
spectral_baseline,rf,spec_shape__spectral_entropy_raw__frontal,3
spectral_baseline,rf,aper__aperiodic_exponent__temporal,1
spectral_baseline,rf,aper__aperiodic_slope__temporal,1
spectral_baseline,svc_rbf,aper__aperiodic_exponent__frontal,5
spectral_baseline,svc_rbf,aper__aperiodic_intercept_log10__frontal,5
spectral_baseline,svc_rbf,aper__aperiodic_intercept_log10__parietal,5
spectral_baseline,svc_rbf,aper__aperiodic_intercept_log10__temporal,5
spectral_baseline,svc_rbf,aper__aperiodic_intercept_log10__central,4
spectral_baseline,svc_rbf,aper__aperiodic_slope__frontal,4
spectral_baseline,svc_rbf,spec_shape__spectral_entropy_norm__central,4
spectral_baseline,svc_rbf,spec_shape__spectral_entropy_raw__central,4
spectral_baseline,svc_rbf,aper__aperiodic_exponent__parietal,3
spectral_baseline,svc_rbf,aper__aperiodic_slope__parietal,3
spectral_baseline,svc_rbf,spec_shape__spectral_entropy_norm__frontal,3
spectral_baseline,svc_rbf,spec_shape__spectral_entropy_raw__frontal,3
spectral_baseline,svc_rbf,aper__aperiodic_exponent__temporal,1
spectral_baseline,svc_rbf,aper__aperiodic_slope__temporal,1
tfr,logreg,tfr__value__central_tfr_alpha_cv,5
tfr,logreg,tfr__value__frontal_tfr_alpha_cv,5
tfr,logreg,tfr__value__occipital_tfr_alpha_cv,5
tfr,logreg,tfr__value__parietal_tfr_alpha_cv,5
tfr,logreg,tfr__value__temporal_tfr_alpha_cv,5
tfr,rf,tfr__value__central_tfr_alpha_cv,5
tfr,rf,tfr__value__frontal_tfr_alpha_cv,5
tfr,rf,tfr__value__occipital_tfr_alpha_cv,5
tfr,rf,tfr__value__parietal_tfr_alpha_cv,5
tfr,rf,tfr__value__temporal_tfr_alpha_cv,5
tfr,svc_rbf,tfr__value__central_tfr_alpha_cv,5
tfr,svc_rbf,tfr__value__frontal_tfr_alpha_cv,5
tfr,svc_rbf,tfr__value__occipital_tfr_alpha_cv,5
tfr,svc_rbf,tfr__value__parietal_tfr_alpha_cv,5
tfr,svc_rbf,tfr__value__temporal_tfr_alpha_cv,5
