model,model_ru,feature,feature_ru,block,block_ru,importance_mean,importance_std,feature_set,validation,n_repeats,n_train,n_test,logreg_coef,logreg_abs_coef,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr,rank_strict,rank_in_model,importance_positive
logreg,Логистическая регрессия,conn__hub_z_max__plv_delta,Функциональная связность · максимальный hub z-score · PLV δ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.15702961654229272,0.15702961654229272,0.8132548309178744,-1.129118548691132,1.129118548691132,2.0895719811778526e-10,11,11,0.0
logreg,Логистическая регрессия,aper__aperiodic_intercept_log10__parietal,Апериодический компонент · aperiodic intercept log10 · теменная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.13063571786962203,0.13063571786962203,0.8057065217391304,1.1420608092640874,1.1420608092640874,5.515340082025495e-10,12,12,0.0
logreg,Логистическая регрессия,aper__aperiodic_intercept_log10__temporal,Апериодический компонент · aperiodic intercept log10 · височная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.07593555072968425,0.07593555072968425,0.8055555555555556,1.1375749353435916,1.1375749353435916,5.515340082025495e-10,13,13,0.0
logreg,Логистическая регрессия,burst__pct_time__occipital_alpha,Ритмические эпизоды · pct time · затылочная область α,burst,Ритмические эпизоды,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.23180716717568287,0.23180716717568287,0.8020833333333333,0.9997637822086023,0.9997637822086023,8.495781504125879e-10,14,14,0.0
logreg,Логистическая регрессия,aper__aperiodic_intercept_log10__frontal,Апериодический компонент · aperiodic intercept log10 · лобная область,aper,Апериодический компонент,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.1444762895404557,0.1444762895404557,0.7964975845410628,1.1285406098796067,1.1285406098796067,1.7860226937951565e-09,15,15,0.0
logreg,Логистическая регрессия,conn__hub_z_max__dtf_delta,Функциональная связность · максимальный hub z-score · DTF δ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.18942809908912642,0.18942809908912642,0.7916666666666666,1.1237997120696217,1.1237997120696217,3.3395639929717363e-09,16,16,0.0
logreg,Логистическая регрессия,conn__clustering__coh_theta,Функциональная связность · кластеризация · coherence θ,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.06285077833995603,0.06285077833995603,0.7823067632850241,-0.6759977867116944,0.6759977867116944,1.0565348576228296e-08,17,17,0.0
logreg,Логистическая регрессия,spec_shape__spectral_entropy_norm__frontal,Интегральные спектральные характеристики · спектральная энтропия norm · лобная область,spec_shape,Интегральные спектральные характеристики,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.049894037716218566,0.049894037716218566,0.7821557971014492,-1.045041959178796,1.045041959178796,1.0565348576228296e-08,18,18,0.0
logreg,Логистическая регрессия,spec_shape__spectral_entropy_raw__frontal,Интегральные спектральные характеристики · спектральная энтропия · лобная область,spec_shape,Интегральные спектральные характеристики,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,-0.04989403771621765,0.04989403771621765,0.7821557971014492,-1.0450419591787885,1.0450419591787885,1.0565348576228296e-08,19,19,0.0
logreg,Логистическая регрессия,conn__clustering__pdc_beta,Функциональная связность · кластеризация · PDC β,conn,Функциональная связность,0.0,0.0,all_clean_features,exploratory_holdout,30,131,33,0.3534066875535061,0.3534066875535061,0.7777777777777778,1.067154377275833,1.067154377275833,1.7677359688023226e-08,20,20,0.0
