feature,feature_ru,block,block_ru,n_models_top_n,mean_rank,best_rank,mean_importance,max_importance,models_top_n,roc_auc_oriented,hedges_g_tbi_minus_control,abs_hedges_g,q_fdr
burst__mean_amp__occipital_alpha,Вспышки · mean amp · occipital alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6435688405797101,0.3883869241074725,0.3883869241074725,0.004490305607196624
burst__mean_amp__occipital_beta,Вспышки · mean amp · occipital beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6041666666666667,0.27824712973678895,0.27824712973678895,0.04619443109538276
burst__mean_amp__parietal_alpha,Вспышки · mean amp · parietal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6796497584541064,0.5999834756548323,0.5999834756548323,0.00029121420929955705
burst__mean_amp__parietal_beta,Вспышки · mean amp · parietal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5791062801932367,0.2743913667524569,0.2743913667524569,0.14049370870728486
burst__mean_amp__temporal_alpha,Вспышки · mean amp · temporal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.618659420289855,0.38218494133301456,0.38218494133301456,0.021157334969753343
burst__mean_amp__temporal_beta,Вспышки · mean amp · temporal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5033212560386473,-0.07157317849747502,0.07157317849747502,0.9558668381652815
burst__mean_peak__central_alpha,Вспышки · mean peak · central alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5688405797101449,0.13316229810345637,0.13316229810345637,0.20499208290543403
burst__mean_peak__central_beta,Вспышки · mean peak · central beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6121678743961352,-0.39235383251408523,0.39235383251408523,0.02994713056377314
burst__mean_peak__frontal_alpha,Вспышки · mean peak · frontal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6142814009661836,0.3281279604750754,0.3281279604750754,0.026865638373719917
burst__mean_peak__frontal_beta,Вспышки · mean peak · frontal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5596316425120773,-0.18876484878244693,0.18876484878244693,0.2802317842952908
burst__mean_peak__occipital_alpha,Вспышки · mean peak · occipital alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.640096618357488,0.34965219518371987,0.34965219518371987,0.005608678796680282
burst__mean_peak__occipital_beta,Вспышки · mean peak · occipital beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6023550724637681,0.2591938787457834,0.2591938787457834,0.05021366403675461
burst__mean_peak__parietal_alpha,Вспышки · mean peak · parietal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.667572463768116,0.5609936738958551,0.5609936738958551,0.000744314065541885
burst__mean_peak__parietal_beta,Вспышки · mean peak · parietal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5632548309178744,0.21838145187440136,0.21838145187440136,0.2487095639161339
burst__mean_peak__temporal_alpha,Вспышки · mean peak · temporal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5939009661835749,0.3216851016415427,0.3216851016415427,0.07448257699005761
burst__mean_peak__temporal_beta,Вспышки · mean peak · temporal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5271739130434783,-0.14843277679664982,0.14843277679664982,0.6486462515998589
burst__pct_time__central_alpha,Вспышки · pct time · central alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7539251207729469,0.9933777521342236,0.9933777521342236,1.9536960045242323e-07
burst__pct_time__central_beta,Вспышки · pct time · central beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.5015096618357487,0.020042025077793877,0.020042025077793877,0.9781268807447249
burst__pct_time__frontal_alpha,Вспышки · pct time · frontal alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.7580012077294687,0.951274927971627,0.951274927971627,1.335628463313962e-07
burst__pct_time__frontal_beta,Вспышки · pct time · frontal beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6337560386473431,0.5082967629527384,0.5082967629527384,0.008212524233884858
burst__pct_time__occipital_alpha,Вспышки · pct time · occipital alpha,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.8020833333333333,0.9997637822086023,0.9997637822086023,8.524006691847228e-10
burst__pct_time__occipital_beta,Вспышки · pct time · occipital beta,burst,Вспышки,3,6.666666666666667,4,0.0,0.0,Логистическая регрессия; Случайный лес; SVM с RBF-ядром,0.6733091787439613,0.6372824145705441,0.6372824145705441,0.00048651296377659665
