feature,feature_ru,PC1_loading,PC2_loading,abs_PC1_loading,abs_PC2_loading
burst__mean_peak__frontal_beta,Burst-активность · mean peak · frontal beta,0.05912779363689351,0.02705409030490875,0.05912779363689351,0.02705409030490875
burst__mean_peak__occipital_alpha,Burst-активность · mean peak · occipital alpha,0.12386256652987372,0.07800347444287238,0.12386256652987372,0.07800347444287238
burst__mean_peak__occipital_beta,Burst-активность · mean peak · occipital beta,0.08929657987315136,0.006722457708132093,0.08929657987315136,0.006722457708132093
burst__mean_peak__parietal_alpha,Burst-активность · mean peak · parietal alpha,0.1322399233753327,0.0578286032289799,0.1322399233753327,0.0578286032289799
burst__mean_peak__parietal_beta,Burst-активность · mean peak · parietal beta,0.08118585581059057,-0.005164163291671326,0.08118585581059057,0.005164163291671326
burst__mean_peak__temporal_alpha,Burst-активность · mean peak · temporal alpha,0.1212354268754935,0.058437223801023966,0.1212354268754935,0.058437223801023966
burst__mean_peak__temporal_beta,Burst-активность · mean peak · temporal beta,0.015686858251633053,-0.012419658666017467,0.015686858251633053,0.012419658666017467
conn__mean_strength__coh_alpha,Функциональная связность · mean strength · coh alpha,0.06182958918359488,0.11822876949876727,0.06182958918359488,0.11822876949876727
conn__mean_strength__coh_beta,Функциональная связность · mean strength · coh beta,-0.0043797452992427235,0.03285111681331683,0.0043797452992427235,0.03285111681331683
conn__mean_strength__coh_delta,Функциональная связность · mean strength · coh delta,0.03759740290605601,-0.040743791050387605,0.03759740290605601,0.040743791050387605
conn__mean_strength__coh_theta,Функциональная связность · mean strength · coh theta,0.005744511234285149,0.00929333310699611,0.005744511234285149,0.00929333310699611
conn__mean_strength__dtf_alpha,Функциональная связность · mean strength · dtf alpha,0.055789188073999234,0.05619258124983735,0.055789188073999234,0.05619258124983735
conn__mean_strength__dtf_beta,Функциональная связность · mean strength · dtf beta,0.03977538293779361,-0.015920110144103727,0.03977538293779361,0.015920110144103727
conn__mean_strength__dtf_delta,Функциональная связность · mean strength · dtf delta,0.05144176506631491,-0.04038273826246085,0.05144176506631491,0.04038273826246085
conn__mean_strength__dtf_theta,Функциональная связность · mean strength · dtf theta,0.05784869421387824,0.005529547023094954,0.05784869421387824,0.005529547023094954
conn__mean_strength__imcoh_alpha,Функциональная связность · mean strength · imcoh alpha,0.07163174563519382,0.06545495160568796,0.07163174563519382,0.06545495160568796
conn__mean_strength__imcoh_beta,Функциональная связность · mean strength · imcoh beta,0.020929886946858385,-0.0033485825334084378,0.020929886946858385,0.0033485825334084378
conn__mean_strength__imcoh_delta,Функциональная связность · mean strength · imcoh delta,0.03520221286953906,-0.06429031205121265,0.03520221286953906,0.06429031205121265
conn__mean_strength__imcoh_theta,Функциональная связность · mean strength · imcoh theta,0.04389086972793839,-0.006705268522709483,0.04389086972793839,0.006705268522709483
conn__mean_strength__plv_alpha,Функциональная связность · mean strength · plv alpha,0.0534300878049801,0.1374039726904064,0.0534300878049801,0.1374039726904064
conn__mean_strength__plv_beta,Функциональная связность · mean strength · plv beta,0.02090094451445064,0.06190902975768917,0.02090094451445064,0.06190902975768917
conn__mean_strength__plv_delta,Функциональная связность · mean strength · plv delta,0.0076357840565301266,0.06619165507944202,0.0076357840565301266,0.06619165507944202
conn__mean_strength__plv_theta,Функциональная связность · mean strength · plv theta,-0.0015686280558074865,0.09637030256446964,0.0015686280558074865,0.09637030256446964
conn__mean_strength__wpli_alpha,Функциональная связность · mean strength · wpli alpha,0.06380327297379726,0.06350236780451651,0.06380327297379726,0.06350236780451651
conn__mean_strength__wpli_beta,Функциональная связность · mean strength · wpli beta,0.010646547530771861,0.002417764638223528,0.010646547530771861,0.002417764638223528
conn__mean_strength__wpli_delta,Функциональная связность · mean strength · wpli delta,0.02493030527277339,-0.05277057500728336,0.02493030527277339,0.05277057500728336
conn__mean_strength__wpli_theta,Функциональная связность · mean strength · wpli theta,0.03774273863764299,-0.00036517948493340233,0.03774273863764299,0.00036517948493340233
conn__clustering__coh_alpha,Функциональная связность · clustering · coh alpha,0.05098809516584161,0.12650098647126512,0.05098809516584161,0.12650098647126512
conn__clustering__coh_beta,Функциональная связность · clustering · coh beta,0.0013608137901825778,0.04787488974131525,0.0013608137901825778,0.04787488974131525
conn__clustering__coh_delta,Функциональная связность · clustering · coh delta,0.03273339069664201,-0.02001771271960825,0.03273339069664201,0.02001771271960825
conn__clustering__coh_theta,Функциональная связность · clustering · coh theta,0.013905686617065692,0.02381267225569759,0.013905686617065692,0.02381267225569759
conn__clustering__dtf_alpha,Функциональная связность · clustering · dtf alpha,0.012303360394875614,0.0290435937510935,0.012303360394875614,0.0290435937510935
conn__clustering__dtf_beta,Функциональная связность · clustering · dtf beta,-0.010420442128791087,0.017780729968096466,0.010420442128791087,0.017780729968096466
conn__clustering__dtf_delta,Функциональная связность · clustering · dtf delta,0.003896533039094426,-0.011728897256604922,0.003896533039094426,0.011728897256604922
conn__clustering__dtf_theta,Функциональная связность · clustering · dtf theta,0.002435744682597724,0.05317318751901588,0.002435744682597724,0.05317318751901588
conn__clustering__imcoh_alpha,Функциональная связность · clustering · imcoh alpha,0.04723873429677093,0.02348571502802081,0.04723873429677093,0.02348571502802081
conn__clustering__imcoh_beta,Функциональная связность · clustering · imcoh beta,0.004177882251430482,0.0007145833949515643,0.004177882251430482,0.0007145833949515643
conn__clustering__imcoh_delta,Функциональная связность · clustering · imcoh delta,0.010205248897589215,-0.015604254590943242,0.010205248897589215,0.015604254590943242
conn__clustering__imcoh_theta,Функциональная связность · clustering · imcoh theta,-0.0010980465380416595,-0.00905846311261497,0.0010980465380416595,0.00905846311261497
conn__clustering__pdc_alpha,Функциональная связность · clustering · pdc alpha,0.012639754994284302,-0.10539947892787416,0.012639754994284302,0.10539947892787416
conn__clustering__pdc_beta,Функциональная связность · clustering · pdc beta,0.011639005007281926,-0.12047942324268479,0.011639005007281926,0.12047942324268479
conn__clustering__pdc_delta,Функциональная связность · clustering · pdc delta,0.038777875865066945,-0.09052143385039128,0.038777875865066945,0.09052143385039128
conn__clustering__pdc_theta,Функциональная связность · clustering · pdc theta,0.032408553085850014,-0.09944004258187962,0.032408553085850014,0.09944004258187962
conn__clustering__plv_alpha,Функциональная связность · clustering · plv alpha,0.03171508154414258,0.14477136086711545,0.03171508154414258,0.14477136086711545
conn__clustering__plv_beta,Функциональная связность · clustering · plv beta,0.008720706927667935,0.07969737792704629,0.008720706927667935,0.07969737792704629
conn__clustering__plv_delta,Функциональная связность · clustering · plv delta,-0.0025402482419979457,0.07330334680698616,0.0025402482419979457,0.07330334680698616
conn__clustering__plv_theta,Функциональная связность · clustering · plv theta,-0.0008052108279441823,0.09676650597651203,0.0008052108279441823,0.09676650597651203
conn__clustering__wpli_alpha,Функциональная связность · clustering · wpli alpha,0.05290249281607333,0.050187775501943394,0.05290249281607333,0.050187775501943394
conn__clustering__wpli_beta,Функциональная связность · clustering · wpli beta,0.01052438822213071,0.003610451922903114,0.01052438822213071,0.003610451922903114
conn__clustering__wpli_delta,Функциональная связность · clustering · wpli delta,0.023472378098175716,-0.05635196692117061,0.023472378098175716,0.05635196692117061
conn__clustering__wpli_theta,Функциональная связность · clustering · wpli theta,0.005986995203354313,-0.02479834796481214,0.005986995203354313,0.02479834796481214
conn__global_efficiency__coh_alpha,Функциональная связность · global efficiency · coh alpha,0.055600194715563954,0.11860949868712475,0.055600194715563954,0.11860949868712475
conn__global_efficiency__coh_beta,Функциональная связность · global efficiency · coh beta,-0.015637901756189385,0.03417139621065862,0.015637901756189385,0.03417139621065862
conn__global_efficiency__coh_delta,Функциональная связность · global efficiency · coh delta,0.026383516451545304,-0.02239301096777145,0.026383516451545304,0.02239301096777145
conn__global_efficiency__coh_theta,Функциональная связность · global efficiency · coh theta,0.0030090819064865345,0.028491281197538677,0.0030090819064865345,0.028491281197538677
conn__global_efficiency__dtf_alpha,Функциональная связность · global efficiency · dtf alpha,0.055376038494955815,0.02799597462362896,0.055376038494955815,0.02799597462362896
conn__global_efficiency__dtf_beta,Функциональная связность · global efficiency · dtf beta,0.044887470789372205,-0.030321715871221677,0.044887470789372205,0.030321715871221677
conn__global_efficiency__dtf_delta,Функциональная связность · global efficiency · dtf delta,0.05310325526237573,-0.05878771698249783,0.05310325526237573,0.05878771698249783
conn__global_efficiency__dtf_theta,Функциональная связность · global efficiency · dtf theta,0.05547326851791896,-0.022111630095167693,0.05547326851791896,0.022111630095167693
conn__global_efficiency__imcoh_alpha,Функциональная связность · global efficiency · imcoh alpha,0.07241740175659077,0.0675799805016899,0.07241740175659077,0.0675799805016899
conn__global_efficiency__imcoh_beta,Функциональная связность · global efficiency · imcoh beta,0.020442529575854754,-0.0035231603676284893,0.020442529575854754,0.0035231603676284893
conn__global_efficiency__imcoh_delta,Функциональная связность · global efficiency · imcoh delta,0.03501768799003215,-0.0656136080410325,0.03501768799003215,0.0656136080410325
conn__global_efficiency__imcoh_theta,Функциональная связность · global efficiency · imcoh theta,0.04623395698774804,-0.005194229002312971,0.04623395698774804,0.005194229002312971
conn__global_efficiency__pdc_alpha,Функциональная связность · global efficiency · pdc alpha,0.0015857044296379047,0.12153551127091876,0.0015857044296379047,0.12153551127091876
conn__global_efficiency__pdc_beta,Функциональная связность · global efficiency · pdc beta,0.0106750075043104,0.13239996019896783,0.0106750075043104,0.13239996019896783
conn__global_efficiency__pdc_delta,Функциональная связность · global efficiency · pdc delta,-0.039000548128828944,0.0744865092403939,0.039000548128828944,0.0744865092403939
conn__global_efficiency__pdc_theta,Функциональная связность · global efficiency · pdc theta,-0.011857989629502437,0.10554880574868432,0.011857989629502437,0.10554880574868432
conn__global_efficiency__plv_alpha,Функциональная связность · global efficiency · plv alpha,0.04502567415912645,0.13812767402036785,0.04502567415912645,0.13812767402036785
conn__global_efficiency__plv_beta,Функциональная связность · global efficiency · plv beta,0.00431047495610598,0.05730435470956759,0.00431047495610598,0.05730435470956759
conn__global_efficiency__plv_delta,Функциональная связность · global efficiency · plv delta,-0.009740982675309068,0.07219545488806167,0.009740982675309068,0.07219545488806167
conn__global_efficiency__plv_theta,Функциональная связность · global efficiency · plv theta,-0.008471034404405964,0.1033373753586892,0.008471034404405964,0.1033373753586892
conn__global_efficiency__wpli_alpha,Функциональная связность · global efficiency · wpli alpha,0.06486961702928358,0.0645563648609436,0.06486961702928358,0.0645563648609436
conn__global_efficiency__wpli_beta,Функциональная связность · global efficiency · wpli beta,0.009956113977163146,0.0019075392866311012,0.009956113977163146,0.0019075392866311012
conn__global_efficiency__wpli_delta,Функциональная связность · global efficiency · wpli delta,0.02297584145617738,-0.0484238933154726,0.02297584145617738,0.0484238933154726
conn__global_efficiency__wpli_theta,Функциональная связность · global efficiency · wpli theta,0.03908636989945514,0.0012367484361945535,0.03908636989945514,0.0012367484361945535
conn__modularity__coh_alpha,Функциональная связность · modularity · coh alpha,-0.05248527747312739,-0.052327607484193066,0.05248527747312739,0.052327607484193066
conn__modularity__coh_beta,Функциональная связность · modularity · coh beta,-0.03355416973986161,-0.0010276070850995678,0.03355416973986161,0.0010276070850995678
conn__modularity__coh_delta,Функциональная связность · modularity · coh delta,-0.03837406341319383,0.06082145283191384,0.03837406341319383,0.06082145283191384
conn__modularity__coh_theta,Функциональная связность · modularity · coh theta,-0.04236239500878659,0.023457620578591416,0.04236239500878659,0.023457620578591416
conn__modularity__dtf_alpha,Функциональная связность · modularity · dtf alpha,0.003770335207199478,0.011179567635557363,0.003770335207199478,0.011179567635557363
conn__modularity__dtf_beta,Функциональная связность · modularity · dtf beta,-0.03771903824769706,0.04028476589837935,0.03771903824769706,0.04028476589837935
conn__modularity__dtf_delta,Функциональная связность · modularity · dtf delta,-0.01982030070667454,0.011899101060757563,0.01982030070667454,0.011899101060757563
conn__modularity__dtf_theta,Функциональная связность · modularity · dtf theta,-0.0028071109953349896,0.014938334072143726,0.0028071109953349896,0.014938334072143726
conn__modularity__imcoh_alpha,Функциональная связность · modularity · imcoh alpha,0.02777842439936201,-0.004972280863349721,0.02777842439936201,0.004972280863349721
conn__modularity__imcoh_beta,Функциональная связность · modularity · imcoh beta,0.009695741677569215,-0.004913456784760975,0.009695741677569215,0.004913456784760975
conn__modularity__imcoh_delta,Функциональная связность · modularity · imcoh delta,0.0016060493118007898,-0.03777184694054682,0.0016060493118007898,0.03777184694054682
conn__modularity__imcoh_theta,Функциональная связность · modularity · imcoh theta,0.01477925402441061,-0.031117053514065084,0.01477925402441061,0.031117053514065084
conn__modularity__pdc_alpha,Функциональная связность · modularity · pdc alpha,-0.0075516377535818574,-0.01807327670016202,0.0075516377535818574,0.01807327670016202
