family,roi,roi_ru,metric,metric_ru,n_tbi,n_ctl,mean_tbi,mean_ctl,diff_mean_tbi_minus_ctl,p_perm,hedges_g,q_fdr
bandpower_rel,central,Центральная область,delta,δ (1–4 Гц),212,363,0.2704043511115162,0.24509384467772752,0.025310506433788654,0.005198960207958408,0.23545878442638576,0.009283857514211444
bandpower_rel,central,Центральная область,theta,θ (4–8 Гц),212,363,0.16133262187966083,0.14433787506929735,0.016994746810363476,0.001799640071985603,0.2791824468868499,0.0034608462922800054
bandpower_rel,central,Центральная область,alpha,α (8–13 Гц),212,363,0.315247351056916,0.2865825051975203,0.02866484585939566,0.030393921215756847,0.186640700878213,0.044696942964348306
bandpower_rel,central,Центральная область,beta,β (13–30 Гц),212,363,0.20577596168622592,0.2522365363350484,-0.04646057464882247,0.0001999600079984003,-0.4589423386526356,0.0004999000199960008
bandpower_rel,central,Центральная область,gamma,γ (30–45 Гц),212,363,0.047239714265681104,0.0717492387204065,-0.0245095244547254,0.0001999600079984003,-0.5141045852710227,0.0004999000199960008
bandpower_rel,parietal,Теменная область,delta,δ (1–4 Гц),212,363,0.24207625846229439,0.23250213563855818,0.009574122823736209,0.35032993401319734,0.07950327058350867,0.38079340653608407
bandpower_rel,parietal,Теменная область,theta,θ (4–8 Гц),212,363,0.14952948738506444,0.1373700813734933,0.012159406011571144,0.03679264147170566,0.17788064418063185,0.05110089093292453
bandpower_rel,parietal,Теменная область,alpha,α (8–13 Гц),212,363,0.38336571374680395,0.3435432971022036,0.039822416644600345,0.014397120575884824,0.2097923994982898,0.022495500899820036
bandpower_rel,parietal,Теменная область,beta,β (13–30 Гц),212,363,0.1878823063427028,0.22856482372141976,-0.04068251737871695,0.0001999600079984003,-0.39426057084899874,0.0004999000199960008
bandpower_rel,parietal,Теменная область,gamma,γ (30–45 Гц),212,363,0.037146234063134366,0.05801966216432517,-0.020873428101190805,0.0001999600079984003,-0.460238086773136,0.0004999000199960008
bandpower_rel,occipital,Затылочная область,delta,δ (1–4 Гц),212,363,0.24446822225867043,0.2413723814750163,0.00309584078365413,0.7760447910417917,0.024908439301429112,0.7760447910417916
bandpower_rel,occipital,Затылочная область,theta,θ (4–8 Гц),212,363,0.14919283713392414,0.13828904171396594,0.010903795419958201,0.0597880423915217,0.16727137279862309,0.0786684768309496
bandpower_rel,occipital,Затылочная область,alpha,α (8–13 Гц),212,363,0.37556630170126487,0.3490048903493068,0.026561411351958053,0.13617276544691062,0.12831280042571735,0.15474177891694388
bandpower_rel,occipital,Затылочная область,beta,β (13–30 Гц),212,363,0.1859759884452951,0.20839055954118657,-0.022414571095891483,0.00599880023995201,-0.2357981240097079,0.009998000399920017
bandpower_rel,occipital,Затылочная область,gamma,γ (30–45 Гц),212,363,0.04479665046084547,0.06294312692052437,-0.018146476459678894,0.0001999600079984003,-0.3535290761034158,0.0004999000199960008
indices,frontal,Лобная область,slowing_index_dt_ab,Индекс замедления (δ+θ)/(α+β),212,363,1.081475146011996,1.260391787328915,-0.17891664131691898,0.19196160767846432,-0.11317298498573891,0.28794241151769645
indices,frontal,Лобная область,theta_alpha_ratio,Соотношение θ/α,212,363,0.7403298934822936,0.8699499273124887,-0.12962003383019505,0.02519496100779844,-0.19264968478994507,0.05398920215956809
indices,frontal,Лобная область,delta_alpha_ratio,Соотношение δ/α,212,363,1.4580574903531809,2.2536415884271217,-0.7955840980739408,0.005398920215956809,-0.21364816049684396,0.040491901619676064
indices,temporal,Височная область,slowing_index_dt_ab,Индекс замедления (δ+θ)/(α+β),212,363,1.2059636832786267,1.0194727587882175,0.18649092449040916,0.01999600079984003,0.1943605313805936,0.049990001999600076
indices,temporal,Височная область,theta_alpha_ratio,Соотношение θ/α,212,363,0.742237357498358,0.712280939786315,0.029956417712042938,0.4957008598280344,0.05910539433049902,0.5311080641014654
indices,temporal,Височная область,delta_alpha_ratio,Соотношение δ/α,212,363,1.6569505596644354,1.7864365448548176,-0.12948598519038224,0.6002799440111978,-0.05078079881202506,0.6002799440111978
indices,central,Центральная область,slowing_index_dt_ab,Индекс замедления (δ+θ)/(α+β),212,363,0.950639741887459,0.8968617868378632,0.053777955049595816,0.42231553689262147,0.07108201287080235,0.4872871579530248
indices,central,Центральная область,theta_alpha_ratio,Соотношение θ/α,212,363,0.6551319886912561,0.7005004541913125,-0.045368465500056354,0.264747050589882,-0.09697873738706252,0.3610187053498391
indices,central,Центральная область,delta_alpha_ratio,Соотношение δ/α,212,363,1.198760085042596,1.4521738106015027,-0.25341372555890684,0.09778044391121776,-0.14355972762252145,0.1833383323335333
indices,parietal,Теменная область,slowing_index_dt_ab,Индекс замедления (δ+θ)/(α+β),212,363,0.7925223950623967,0.898887432002189,-0.10636503693979227,0.2933413317336533,-0.09373089567379252,0.36667666466706655
indices,parietal,Теменная область,theta_alpha_ratio,Соотношение θ/α,212,363,0.512745468624597,0.6068183925495078,-0.09407292392491073,0.019396120775844832,-0.2002330824132761,0.049990001999600076
indices,parietal,Теменная область,delta_alpha_ratio,Соотношение δ/α,212,363,0.9075913418024385,1.3806599519854819,-0.47306861018304336,0.011597680463907219,-0.1948541286703626,0.04349130173965207
indices,occipital,Затылочная область,slowing_index_dt_ab,Индекс замедления (δ+θ)/(α+β),212,363,0.814360927940227,0.9491513902500744,-0.13479046230984748,0.14837032593481303,-0.12422646655335665,0.2472838765580217
indices,occipital,Затылочная область,theta_alpha_ratio,Соотношение θ/α,212,363,0.5345992745945891,0.6374510361812142,-0.10285176158662512,0.010397920415916816,-0.22062674103635452,0.04349130173965207
indices,occipital,Затылочная область,delta_alpha_ratio,Соотношение δ/α,212,363,0.941696003837272,1.4295325713989924,-0.48783656756172034,0.001999600079984003,-0.2275006028590022,0.029994001199760048
