region,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
central,abs_power_delta,6.3314950509736814e-12,4.3387451086519165e-12,1.992749942321765e-12,4.771146968863508e-12,3.787246659520578e-12,9.839003093429295e-13,3.756422257263362e-12,2.301992523514884e-12,0.4540396424116647,0.32940821256038655,4403.0,0.000302226193106327,92,72,0.0016485065078526927,True
temporal,spectral_entropy,0.8440588666353258,0.8705164803188219,-0.026457613683496084,0.8455773609996362,0.8778412522989526,-0.032263891299316394,0.04329201638561664,0.06390276828756025,-0.5695223308231738,-0.3194444444444444,2254.0,0.0004582591585673538,92,72,0.002390917349047063,True
central,abs_power_theta,3.8892640712406255e-12,2.805044925188353e-12,1.0842191460522724e-12,2.6680880137659344e-12,1.8278049160431853e-12,8.402830977227491e-13,2.5011792049187827e-12,1.6014199321582068e-12,0.33333590987104705,0.3182367149758454,4366.0,0.00048160469053654917,92,72,0.002408023452682746,True
parietal,aperiodic_exponent,1.474958830634334,1.2966983176928737,0.17826051294146028,1.489298712090699,1.3624961999089011,0.12680251218179794,0.38592062273642713,0.4823486197937441,0.5987165032567987,0.31642512077294693,4360.0,0.0005187106615723609,92,72,0.0024377189101245887,True
temporal,sef95,31.431159420289852,34.27488425925927,-2.8437248389694147,31.625,34.796875,-3.171875,7.25,8.1953125,-0.5721810970908382,-0.3159722222222222,2265.5,0.0005281724305269942,92,72,0.0024377189101245887,True
central,rel_power_beta,0.18905639343060618,0.2364723450785453,-0.04741595164793913,0.174107217053303,0.22258548652376098,-0.04847826947045797,0.07843585402968112,0.12612537685451836,-0.5504120317234878,-0.3128019323671497,2276.0,0.000601047631682008,92,72,0.002671322807475591,True
central,sef95,29.11367753623188,31.860243055555557,-2.7465655193236778,29.0,31.90625,-2.90625,6.052083333333332,6.8046875,-0.5617028490102874,-0.309933574879227,2285.5,0.0006744046775575161,92,72,0.002757777179920958,True
occipital,abs_power_theta,8.062522750437255e-12,6.12177969137414e-12,1.9407430590631153e-12,5.9111641328180196e-12,4.293935146141386e-12,1.617228986676634e-12,6.068559970172486e-12,4.218277310193959e-12,0.32257093782515056,0.30857487922705307,4334.0,0.0007124257714795809,92,72,0.002757777179920958,True
parietal,alpha_peak_residual_amplitude,0.9236233807343391,0.7258425243132844,0.1977808564210547,0.9779678001234688,0.794371514802177,0.1835962853212918,0.4519443721796521,0.6059143322226361,0.5484951452814085,0.30857487922705307,4334.0,0.0007124257714795809,92,72,0.002757777179920958,True
temporal,total_power_1_45,3.667056948634929e-11,2.7982838214905394e-11,8.687731271443893e-12,3.0510199092964514e-11,2.0986818851942127e-11,9.523380241022387e-12,2.389630000434375e-11,1.9231778569562242e-11,0.4057394694583667,0.3094806763285025,4337.0,0.0006870569928891679,92,72,0.002757777179920958,True
frontal,aperiodic_exponent,1.2667970806535636,1.1165718036363081,0.1502252770172554,1.3052457753755227,1.143162582409281,0.16208319296624163,0.42077213455678186,0.4164981842657077,0.49878298180704655,0.3022342995169083,4313.0,0.0009158796221263781,92,72,0.003330471353186829,True
temporal,rel_power_theta,0.14211913235124177,0.12299657844450998,0.019122553906731787,0.13775189081235112,0.11208118834070968,0.025670702471641438,0.0526063654304514,0.05354520171290873,0.38932614007547434,0.3022342995169083,4313.0,0.0009158796221263781,92,72,0.003330471353186829,True
occipital,idx_slow_alpha_beta,0.7202012513299757,1.0221572614903434,-0.30195601016036766,0.5898999870296546,0.7821176710066093,-0.1922176839769547,0.5206647640989657,0.7342783964701938,-0.45277511028790013,-0.29830917874396135,2324.0,0.0010675458311213352,92,72,0.0037678088157223595,True
