band,channel,tbi_mean,control_mean,delta_tbi_minus_control,hedges_g,p_value,n_tbi,n_control,q_fdr
alpha,P7,0.36855640980474386,0.3201465995404185,0.04840981026432534,0.33346185201107137,0.032715441964911926,92,72,0.04216656964366426
alpha,P8,0.4141688869987846,0.35262842575326436,0.06154046124552026,0.38522925169177535,0.02010254738343057,92,72,0.028437749957048127
alpha,PO3,0.44731668266659375,0.3776712443682698,0.06964543829832393,0.40712137116260455,0.011960807962472068,92,72,0.019820767480667998
alpha,PO4,0.4761600750082783,0.3858868499009064,0.0902732251073719,0.5256891459335589,0.0013313453079668671,92,72,0.006434835655173192
alpha,PO7,0.42754084117507746,0.35352371306842184,0.07401712810665562,0.455192105925342,0.005925579547062061,92,72,0.012729022730725908
alpha,PO8,0.43741532054752136,0.36905950282168737,0.06835581772583399,0.4028840665156749,0.018726231997172778,92,72,0.027153036395900526
alpha,POz,0.4654465745021486,0.37222733831771176,0.09321923618443684,0.5367654162941186,0.0009267963644936003,92,72,0.005063263858308815
alpha,Pz,0.44015671050697314,0.3491026050661163,0.09105410544085685,0.5477897824832665,0.0004199269756519292,92,72,0.004429838532817754
alpha,T7,0.26707927094393785,0.2520418709559186,0.015037399988019229,0.1361903982156409,0.2837555228277472,92,72,0.29388964864302386
alpha,T8,0.2671226148267168,0.25235727878895214,0.014765336037764643,0.1345133169702055,0.40464840498181265,92,72,0.411747499806055
alpha,TP7,0.3131446812811101,0.260524100046539,0.05262058123457114,0.4211957454273218,0.006957845140483874,92,72,0.013586363145711516
alpha,TP8,0.31751362729913896,0.2884476178399495,0.029066009459189468,0.22094308823070993,0.17799876967320472,92,72,0.19118386372307172
beta,AF3,0.16625387835591068,0.20088764292849162,-0.03463376457258094,-0.4407864173476538,0.004880333685360419,92,72,0.007076483843772607
beta,AF4,0.17482887547558978,0.20211916113303718,-0.0272902856574474,-0.3391297589993773,0.02292239096127072,92,72,0.02769788907820212
beta,AF7,0.15848810820888343,0.19157096839762192,-0.03308286018873849,-0.4619902148954884,0.0025533001343750516,92,72,0.004231183079821514
beta,AF8,0.16530768862225861,0.19284954126156229,-0.02754185263930367,-0.37695632313155075,0.0076069850170187485,92,72,0.010260584441560172
beta,C1,0.17778651116925787,0.21931532546320864,-0.04152881429395078,-0.449411289921189,0.005806759529276656,92,72,0.008214440309708441
beta,C2,0.18439225140988322,0.21881142208432758,-0.03441917067444436,-0.3714477086274335,0.03298673685758667,92,72,0.036397686924434576
beta,C3,0.2117449518724687,0.26724093963958784,-0.05549598776711914,-0.5850077332643987,0.00026241088210048627,92,72,0.0008952841859898944
beta,C4,0.21647924838018873,0.2690256940279492,-0.052546445647760454,-0.542764230144335,0.0005937472514422461,92,72,0.001377493623346011
beta,C5,0.2032345635157674,0.25954737287846164,-0.05631280936269423,-0.7256942729631011,2.9580976134454494e-06,92,72,0.00016480573179908497
beta,C6,0.20942379010939502,0.26551049641791763,-0.05608670630852261,-0.6840978217358319,4.755376927363564e-05,92,72,0.00039401694541012385
beta,CP1,0.17334690686403037,0.22135678916436902,-0.04800988230033865,-0.5206945346822152,0.0013623608330030478,92,72,0.0027247216660060956
beta,CP2,0.17338778458036755,0.22069613463419582,-0.047308350053828274,-0.5124970234745876,0.0017307355884194032,92,72,0.0031369582540101684
beta,CP3,0.20409631929612498,0.26310000079085255,-0.05900368149472757,-0.5742020922933448,0.0003565607783982717,92,72,0.0011489180637277642
beta,CP4,0.19924682829033563,0.25483021120313637,-0.05558338291280074,-0.5514396482089359,0.00043056182276532146,92,72,0.0012381713518384192
beta,CP5,0.20559612145765052,0.2680499747868097,-0.062453853329159176,-0.683199344477917,1.3471833142939369e-05,92,72,0.00019291028554345197
beta,CP6,0.20028716655792972,0.25798165557266695,-0.05769448901473723,-0.6140323306087253,9.42357638926971e-05,92,72,0.0005465674305776432
beta,CPz,0.15923739586167598,0.20546447138526824,-0.04622707552359226,-0.5105055422447604,0.002390776032521355,92,72,0.0040783826437129
beta,Cz,0.16856269338820223,0.20820364943133007,-0.03964095604312784,-0.4293699683213285,0.008640550238246607,92,72,0.011136709195962293
beta,F1,0.16592597706654716,0.1946293476115653,-0.028703370545018148,-0.3486065936994075,0.03217858050186947,92,72,0.036397686924434576
beta,F2,0.1740181621341479,0.19605960553584706,-0.022041443401699168,-0.2557580413308864,0.09459008816194875,92,72,0.09459008816194875
beta,F3,0.17906932686512156,0.21665621868354043,-0.03758689181841887,-0.46498970903683984,0.004309239264894406,92,72,0.006681143434946704
beta,F4,0.18877072181578433,0.2206672456351303,-0.03189652381934596,-0.3899914940855447,0.011196895144565969,92,72,0.013817445072017579
beta,F5,0.17375556962715205,0.2093690602527093,-0.03561349062555724,-0.48583552539199937,0.0009602741800240855,92,72,0.002142150093899883
beta,F6,0.17708317964946613,0.21633322568795682,-0.039250046038490694,-0.5236342831797415,0.0004582591585673538,92,72,0.0012381713518384192
