region,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
temporal,total_power_1_45,3.512897573333815e-11,2.7992688063659192e-11,7.136287669678958e-12,2.8891057136084587e-11,2.1015866787366116e-11,7.875190348718471e-12,2.3649397893767726e-11,2.0209086751865268e-11,0.29224722793418134,0.27831488123083314,49187.0,2.522831065013029e-08,212,363,9.46061649379886e-08,True
occipital,alpha_peak_amplitude,1.2608986697751633e-11,1.6286662251382755e-11,-3.677675553631122e-12,7.631495033073641e-12,2.7846738737370773e-12,4.846821159336564e-12,1.3323094673560195e-11,1.2811493027337931e-11,-0.11277966915231379,0.2683091636779458,48802.0,7.814052365524952e-08,212,363,2.841473587463619e-07,True
occipital,aperiodic_offset,-10.674445363145322,-10.904082142830399,0.22963677968507668,-10.643353815419642,-10.91474184333813,0.27138802791848704,0.5296097250344545,0.8638157681054892,0.4052448101610983,0.2653464317272207,48688.0,1.0839552022433304e-07,212,363,3.8257242432117543e-07,True
central,rel_power_gamma,0.05331192277346077,0.08044646584668501,-0.027134543073224236,0.04439882370037304,0.06325306882274791,-0.018854245122374866,0.03398308952579496,0.07141164436156984,-0.4856231221011094,-0.2601746452518322,28467.0,1.9035809936515538e-07,212,363,6.526563406805327e-07,True
central,abs_power_alpha,9.038118019507282e-12,7.824842914540734e-12,1.2132751049665478e-12,6.4053222150237435e-12,3.309929482873474e-12,3.0953927321502693e-12,9.720350442302251e-12,8.48137369839959e-12,0.11865923384936418,0.2580435573574511,48407.0,2.393488857192929e-07,212,363,7.978296190643096e-07,True
temporal,idx_log_slow_alpha_beta,-0.06282018933972452,-0.2959118482990066,0.23309165895928205,-0.0660758824312808,-0.3200740778379318,0.253998195406651,0.7370076870696309,0.786736087205151,0.38931716054032217,0.2557305473257445,48318.0,3.0627744307931003e-07,212,363,9.671919255136106e-07,True
temporal,idx_slow_alpha_beta,1.0989709935500074,0.938717062422504,0.1602539311275034,0.936064127469376,0.7260952475131459,0.20996887995623004,0.7127352834984949,0.5886626545342126,0.17701470271882191,0.2557305473257445,48318.0,3.0627744307931003e-07,212,363,9.671919255136106e-07,True
occipital,total_power_1_45,6.371815197043245e-11,6.430577240878725e-11,-5.876204383548053e-13,5.1933026731757093e-11,3.252959439119758e-11,1.9403432340559515e-11,4.602276327504297e-11,4.7486464741718105e-11,-0.007163946304960808,0.2510525495088103,48138.0,5.011089355830494e-07,212,363,1.5418736479478443e-06,True
temporal,abs_power_alpha,1.03900869020548e-11,8.646361937753907e-12,1.7437249643008932e-12,8.143605401784937e-12,4.719766332858745e-12,3.423839068926192e-12,1.0992010627413095e-11,9.324196518078078e-12,0.17967627213146461,0.2500909610686626,48101.0,5.538939668474107e-07,212,363,1.661681900542232e-06,True
frontal,aperiodic_exponent,1.274696113908059,1.112034164064064,0.16266194984399496,1.3240410655882895,1.1563495528983576,0.16769151268993188,0.40457458506104915,0.6067541384783064,0.424566629523084,0.24601070741722553,47944.0,8.438255209509514e-07,212,363,2.469733232051565e-06,True
parietal,sef95,24.68985849056604,27.84435261707989,-3.1544941265138497,24.0,27.5,-3.5,7.25,12.5,-0.4609817582424349,-0.24439939705805913,29074.0,9.924970528105516e-07,212,363,2.8357058651730046e-06,True
parietal,rel_power_alpha,0.44429149868905105,0.36922011857099646,0.07507138011805459,0.46111941707599646,0.30384423327456167,0.1572751838014348,0.2665209054043354,0.37803643016709854,0.37034851826290743,0.23925359945943137,47684.0,1.6705647526082664e-06,212,363,4.662041170069581e-06,True
central,spectral_entropy,0.8427698823537655,0.86208700185844,-0.019317119504674518,0.8463263022607388,0.869636849088031,-0.023310546827292167,0.042509018468437576,0.0883248024702008,-0.33770536110232363,-0.2354332345756016,29419.0,2.4387537567135433e-06,212,363,6.651146609218755e-06,True
central,total_power_1_45,2.5306221241366537e-11,2.138805970415148e-11,3.918161537215059e-12,1.9718599526521136e-11,1.4290245404314541e-11,5.428354122206595e-12,1.7327344482787007e-11,1.540021921200444e-11,0.20147825846355671,0.23286033577628773,47438.0,3.1364752151547863e-06,212,363,8.36393390707943e-06,True
frontal,rel_power_alpha,0.33039168206907693,0.27478242514949214,0.05560925691958479,0.3392509987070085,0.20482221690755295,0.13442878179945553,0.2409195188983288,0.26484727922908974,0.3060051908572414,0.2324964915016372,47424.0,3.2494146208869806e-06,212,363,8.47673379361821e-06,True
central,alpha_peak_amplitude,3.323784903097504e-12,3.2443060250884466e-12,7.947887800905743e-14,2.215458089545282e-12,1.0516461134705592e-12,1.1638119760747229e-12,3.396310077955444e-12,3.4541941100024976e-12,0.017422934545726552,0.23210665835022604,47409.0,3.3747464207430447e-06,212,363,8.616373840195008e-06,True
parietal,abs_power_beta,7.834932644632106e-12,6.789728213818097e-12,1.0452044308140091e-12,6.069321005755927e-12,4.6273448731430085e-12,1.4419761326129185e-12,5.527711742075873e-12,4.527056857307089e-12,0.1717187266777107,0.22901398201569734,47290.0,4.547062380524731e-06,212,363,1.1367655951311827e-05,True
occipital,rel_power_alpha,0.41208500575970686,0.35078015191989376,0.0613048538398131,0.40133380702155974,0.26437459868847796,0.13695920833308178,0.28650823930368013,0.3821142015953274,0.28554390214076214,0.2264670720931441,47192.0,5.796508075759164e-06,212,363,1.4195529981451015e-05,True
parietal,rel_power_beta,0.1626503427746052,0.2051385539506453,-0.042488211176040125,0.14677624042548376,0.1924851734633869,-0.04570893303790313,0.09114833682914374,0.1511779827163061,-0.43363057900027796,-0.2214512188783201,29957.0,9.281874639746296e-06,212,363,2.227649913539111e-05,True
parietal,rel_power_gamma,0.03478325998808028,0.055079483257632775,-0.020296223269552494,0.027301302202208395,0.03951810985823977,-0.012216807656031371,0.02452842911291777,0.053674224526527134,-0.44825324909230435,-0.22113935235719118,29969.0,9.554542240309456e-06,212,363,2.248127585955166e-05,True
frontal,aperiodic_offset,-11.025159467338645,-11.213467770274834,0.18830830293618916,-11.019589176757584,-11.217401079734476,0.19781190297689122,0.5869051345981813,0.7993018564303007,0.3454756370785011,0.2208014969593015,46974.0,9.858562083167738e-06,212,363,2.275052788423324e-05,True
temporal,alpha_peak_amplitude,3.7116307661574656e-12,3.5181056621919816e-12,1.9352510396548395e-13,2.6779330770224734e-12,1.386034125669013e-12,1.2918989513534603e-12,3.785059273625809e-12,3.787247831537765e-12,0.043062672274129916,0.21955403087478564,46926.0,1.1063113128312012e-05,212,363,2.504855802636682e-05,True
occipital,abs_power_beta,9.20497100294361e-12,8.552382815880827e-12,6.525881870627825e-13,7.282721403822791e-12,5.616510662791554e-12,1.666210741031237e-12,5.461596534444485e-12,5.0712054089685494e-12,0.08005249813109552,0.21763085399449045,46852.0,1.3199264032000846e-05,212,363,2.933169784889077e-05,True
frontal,alpha_peak_residual_amplitude,0.6970678863692386,0.5392561751900108,0.15781171117922776,0.7696836164923075,0.4519384008063003,0.3177452156860072,0.577799096391808,0.8210935858752757,0.3492036345487354,0.21674723218462488,46818.0,1.4307722122664578e-05,212,363,3.121684826763181e-05,True
parietal,spectral_flatness,0.3494694836177795,0.4211552378891704,-0.0716857542713909,0.3405865628826083,0.4185430718884887,-0.07795650900588041,0.15617321014680433,0.3074336740727037,-0.41162246454524726,-0.21495399968813345,30207.0,1.683610061081591e-05,212,363,3.607735845174837e-05,True
frontal,abs_power_alpha,1.1168444805352801e-11,1.1163314684144444e-11,5.1301212083568165e-15,8.469913077457075e-12,4.2162687578596325e-12,4.253644319597443e-12,1.2089697510827536e-11,1.147424777613059e-11,0.0003322537981712829,0.214070377878268,46715.0,1.8233397651007713e-05,212,363,3.8386100317910976e-05,True
parietal,alpha_peak_residual_amplitude,0.9176190092763886,0.7415094025100943,0.17610960676629428,0.9703512451628713,0.6575305860287877,0.31282065913408363,0.4969976136919607,0.8625636278209043,0.3828665752629335,0.213056811684599,46676.0,1.9972177902735073e-05,212,363,4.132174738496912e-05,True
parietal,idx_slow_beta,2.437857729205347,2.3311502315426593,0.10670749766268761,2.126512558877157,1.6286041133154183,0.49790844556173863,1.550662789445327,1.6166979519475304,0.04387011501165156,0.21053589063880662,46579.0,2.500749672557744e-05,212,363,5.086270520456429e-05,True
central,rel_power_theta,0.14296561305899477,0.12897103195377124,0.01399458110522353,0.13578428155736633,0.11739957672671843,0.0183847048306479,0.05805403947903001,0.06055816333366004,0.2462810268991041,0.20991215759654858,46555.0,2.6428125397264948e-05,212,363,5.2856250794529895e-05,True
central,rel_power_alpha,0.33152398598904975,0.2859575701578108,0.04556641583123894,0.32870522313067907,0.2370143083854009,0.09169091474527816,0.21223936001059718,0.24787143768068481,0.28462246893442145,0.20801496959301424,46482.0,3.123607172263623e-05,212,363,6.144800994616963e-05,True
frontal,alpha_peak_frequency,9.86320754716981,9.480716253443527,0.3824912937262841,10.0,9.5,0.5,1.5,1.75,0.35132400957184856,0.20479234887468167,46358.0,3.844650774337753e-05,212,363,7.44125956323436e-05,True
frontal,sef95,29.027122641509433,31.395316804407713,-2.3681941628982806,28.75,32.0,-3.25,8.75,12.875,-0.3260614911823291,-0.20422059358594524,30620.0,4.339927776368375e-05,212,363,8.266529097844525e-05,True
frontal,idx_slow_beta,2.9379152338237726,3.221355152466675,-0.2834399186429022,2.603814207293756,2.1480148855279695,0.4557993217657863,1.5735535021514968,1.8822258448794016,-0.06585047747596476,0.20318103851551528,46296.0,4.7523136333744145e-05,212,363,8.910588062577027e-05,True
occipital,alpha_peak_residual_amplitude,0.8487368918992876,0.6978623215038405,0.15087457039544705,0.8659532186280297,0.5733446318273216,0.292608586800708,0.5710261443576394,0.9431663336877962,0.3056202620697965,0.2013618171422631,46226.0,5.552485487143911e-05,212,363,0.00010250742437804144,True
frontal,rel_power_gamma,0.059774588132294505,0.0834481836613053,-0.023673595529010792,0.04509392681871951,0.060572910011454796,-0.015478983192735288,0.04183622698522745,0.08212847201153387,-0.37736505967549283,-0.19995841779718282,30784.0,6.25528190123594e-05,212,363,0.00011373239820428982,True
frontal,alpha_peak_amplitude,4.411596679153618e-12,4.962868083775134e-12,-5.512714046215158e-13,3.1329769415603365e-12,1.3740434114530525e-12,1.758933530107284e-12,4.7764614603633e-12,5.042077656794461e-12,-0.07463404324814527,0.1956962420084205,46008.0,8.942094820330103e-05,212,363,0.000160156922155166,True
frontal,rel_power_beta,0.16940044774040364,0.20083058363245215,-0.031430135892048516,0.1543670571075858,0.18901145646772816,-0.03464439936014235,0.0903307835584055,0.1391880027155029,-0.35206583778351624,-0.19431883154010088,31001.0,0.00010021878804737401,212,363,0.00017685668478948356,True
central,alpha_peak_residual_amplitude,0.6655996518492894,0.5451214506957083,0.1204782011535811,0.7115499086395785,0.4803044205750524,0.23124548806452605,0.41781276713391335,0.6905747436131149,0.30560884605782823,0.188055512240761,45714.0,0.0001667704919523672,212,363,0.0002900356381780299,True
occipital,idx_slow_alpha,1.2618579002503691,2.131305890723079,-0.8694479904727099,0.8488783811367219,1.3615845958034787,-0.5127062146667568,1.1205092268571266,2.419902047031419,-0.3637152640240223,-0.1862362908675087,31312.0,0.00019281660140473117,212,363,0.0003305427452652534,True
frontal,spectral_flatness,0.4301667424850158,0.4916487106720394,-0.06148196818702362,0.4109626542319943,0.4801616368856985,-0.06919898265370422,0.18602061105016499,0.30452851085769383,-0.3397607195823322,-0.18376734757523783,31407.0,0.0002343176946349242,212,363,0.000396029906425224,True
parietal,idx_slow_alpha,1.0536536461127817,1.8462375718862953,-0.7925839257735137,0.7002136429302351,1.2133909446554074,-0.5131773017251723,0.8329759823950538,1.8433416385681047,-0.3163301933304243,-0.18171422631113887,31486.0,0.0002750690787784852,212,363,0.00045844846463080873,True
frontal,idx_slow_alpha,1.9449687027664269,3.286755729047206,-1.3417870262807792,1.290224170218885,2.040710898337187,-0.7504867281183021,1.7656507296847068,2.9489169886990783,-0.30252178919031203,-0.17212433078642342,31855.0,0.0005695381224611078,212,363,0.0009362270506209992,True
central,sef50,8.752358490566039,9.583333333333334,-0.8309748427672954,9.25,9.5,-0.25,2.0,2.75,-0.28548040482505577,-0.17061697593430014,31913.0,0.0006292861556585365,212,363,0.0010204640362030321,True
parietal,abs_power_gamma,1.4390957805306566e-12,1.412807183023788e-12,2.628859750686863e-14,1.198585421922542e-12,9.511703417504355e-13,2.474150801721065e-13,9.201946392269596e-13,7.483025363336893e-13,0.011939866946267403,0.16266437964551161,44737.0,0.001128625392904108,212,363,0.0018058006286465727,True
frontal,abs_power_delta,8.81369043014846e-12,1.0094480268134506e-11,-1.2807898379860463e-12,6.28807033518343e-12,5.201260693620271e-12,1.086809641563159e-12,5.4741851873229036e-12,4.845683739186883e-12,-0.07422974386330113,0.15918187015957175,44603.0,0.0014395123852785443,212,363,0.00227291429254507,True
parietal,alpha_peak_frequency,10.057783018867925,9.794077134986226,0.26370588388169836,10.0,9.75,0.25,1.25,1.5,0.24977560527008816,0.15679089349758302,44511.0,0.0016413587258431964,212,363,0.0025579616506647214,True
frontal,abs_power_theta,4.284605526610146e-12,4.053280946868762e-12,2.31324579741384e-13,2.9072238299355157e-12,2.4094905806177067e-12,4.97733249317809e-13,2.717297921851306e-12,2.712410300205648e-12,0.04529075992148217,0.15289256198347112,44361.0,0.002208238091577388,212,363,0.00339728937165752,True
central,alpha_peak_frequency,9.910377358490566,9.639807162534435,0.27057019595613063,10.0,9.75,0.25,1.5,1.875,0.24124434457085642,0.15174905140599826,44317.0,0.0023017899812411186,212,363,0.003496389844923218,True
occipital,rel_power_beta,0.1644311485366554,0.19025014179271388,-0.025818993256058465,0.15308914877484953,0.18073471297297306,-0.02764556419812353,0.08786748629386514,0.14052297283455206,-0.2972461335462167,-0.14722698684962832,32813.0,0.003205945804881026,212,363,0.00480891870732154,True
