roi,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
frontal,beta,n_bursts,14.646739130434783,9.68576388888889,4.960975241545894,14.0,9.25,4.75,7.75,5.8125,0.9508778346714858,0.5101147342995169,5001.5,2.1747498813993848e-08,92,72,1.3839317427086995e-07,True
temporal,alpha,burst_time_fraction,0.03937130934632361,0.035101357212134615,0.004269952134188994,0.03961388888888884,0.035512255388061895,0.004101633500826943,0.007747916666666681,0.005806415035572783,0.8038222229675321,0.43357487922705307,4748.0,1.9693354320798135e-06,92,72,1.148779002046558e-05,True
temporal,alpha,burst_rate_per_min,13.810387195756189,12.737321496261945,1.0730656994942436,13.75,13.057583760460492,0.6924162395395079,1.9791666666666679,1.7046497713566175,0.7930600145834371,0.4316123188405796,4741.5,2.1852175870878985e-06,92,72,1.1766556238165607e-05,True
occipital,alpha,burst_rate_per_min,13.376917776159768,12.27311976537434,1.1037980107854288,13.645833333333332,12.470286863779908,1.1755464695534243,1.916666666666666,2.4767724751076763,0.5998150048473021,0.4006642512077294,4639.0,1.1041990981315001e-05,92,72,5.5209954906575e-05,True
central,alpha,burst_rate_per_min,13.55175178559046,12.487644823741277,1.0641069618491823,13.5,12.586823067424415,0.9131769325755847,2.125,1.480548998617694,0.6922576704685696,0.38300120772946866,4580.5,2.6482626941933486e-05,92,72,0.0001235855923956896,True
central,alpha,burst_median_duration_sec,0.15596376811594204,0.13925694444444442,0.016706823671497617,0.15399999999999997,0.13424999999999998,0.01974999999999999,0.03662499999999996,0.02956249999999999,0.6084420620547584,0.3589975845410629,4501.0,8.20971398127589e-05,92,72,0.0003443452646830716,True
occipital,beta,n_bursts,13.66304347826087,9.431712962962962,4.231330515297907,12.666666666666666,8.75,3.916666666666666,9.75,6.0625,0.6744079141961687,0.35854468599033806,4499.5,8.362670713731739e-05,92,72,0.0003443452646830716,True
parietal,alpha,burst_rate_per_min,13.257495579363429,12.128679227817672,1.1288163515457565,13.75,12.042023591966377,1.7079764080336233,2.395833333333332,2.2601626360985474,0.6071354868495766,0.3568840579710144,4494.0,9.036663221985752e-05,92,72,0.0003514257919661126,True
occipital,alpha,burst_mean_peak_z,3.0540709681335114,3.2048828824393816,-0.15081191430587015,3.046758231754403,3.2339981398176487,-0.18723990806324586,0.36906794945587906,0.2902422023884297,-0.6576383516715962,-0.3502415458937198,2152.0,0.0001220275588547318,92,72,0.00044957521683322246,True
central,alpha,burst_mean_peak_z,3.1053074156874714,3.236430438975022,-0.13112302328755066,3.1263466535680298,3.2448039821918497,-0.11845732862381997,0.31982966885916575,0.23171174354573232,-0.6147431901119159,-0.3408816425120773,2183.0,0.00018453502217205905,92,72,0.0006458725776022068,True
parietal,alpha,burst_mean_peak_z,3.044113620995317,3.19596066874811,-0.15184704775279334,3.040943513910771,3.224147115551145,-0.1832036016403742,0.3292738045415877,0.31476940608471793,-0.6253197135756786,-0.33605072463768115,2199.0,0.00022755454853086562,92,72,0.0007585151617695522,True
frontal,alpha,burst_rate_per_min,13.405489390472226,12.33903945454066,1.0664499359315656,13.416666666666668,12.338649835106393,1.0780168315602747,2.354166666666666,2.3070688897005187,0.6311287458305327,0.33303140096618367,4415.0,0.00025889090340886763,92,72,0.0008237437835736698,True
central,alpha,burst_mean_duration_sec,0.19211808618691445,0.17079439849050837,0.02132368769640608,0.18828594226421752,0.16690083280289505,0.021385109461322466,0.04282983069523025,0.04657166457051459,0.5509406738211775,0.31461352657004826,4354.0,0.0005584674616826579,92,72,0.0016996835790341763,True
frontal,alpha,burst_mean_peak_z,3.0768014827089725,3.209869943722611,-0.13306846101363856,3.071599729714998,3.2160714837603734,-0.14447175404537527,0.3664807594357238,0.33362142319975296,-0.5485374490932585,-0.29559178743961356,2333.0,0.0011858118203342846,92,72,0.00345861780930833,True
parietal,beta,burst_time_fraction,0.009087008095832431,0.007082965781543413,0.0020040423142890177,0.00844999999999995,0.006741896408289575,0.0017081035917103759,0.004437792397660858,0.004017982051032993,0.4917009679836964,0.26147342995169076,4178.0,0.0041327892908453595,92,72,0.011571810014367006,True
central,beta,n_bursts,13.641304347826088,10.793402777777779,2.8479015700483092,12.75,10.75,2.0,9.541666666666668,6.0625,0.466194178974989,0.24924516908212557,4137.5,0.0062542408878373135,92,72,0.01683834085186969,True
parietal,beta,burst_rate_per_min,4.3997729006310236,3.648015596651545,0.7517573039794785,4.25,3.506101244899569,0.7438987551004308,2.0833333333333335,2.203007412973113,0.44546155538214927,0.24426328502415462,4121.0,0.007381556145072639,92,72,0.019137367783521656,True
frontal,alpha,burst_median_duration_sec,0.1613894927536232,0.14737673611111113,0.014012756642512059,0.15233333333333332,0.143625,0.008708333333333318,0.035249999999999976,0.03475,0.44051163339454774,0.23263888888888884,4082.5,0.010726533392151143,92,72,0.026816333480377857,True
temporal,alpha,burst_mean_peak_z,3.186331833278231,3.267888903732908,-0.0815570704546773,3.1790741936384075,3.2563294990663003,-0.07725530542789283,0.27979418937267475,0.269226847992726,-0.38043868115936813,-0.2276570048309179,2558.0,0.012534401647199404,92,72,0.030255452251860628,True
occipital,alpha,burst_median_duration_sec,0.15790217391304348,0.1469253472222222,0.010976826690821284,0.15125,0.1405,0.010749999999999982,0.03774999999999998,0.033312499999999995,0.36250601761017137,0.2216183574879227,4046.0,0.015077026500903843,92,72,0.035179728502108966,True
parietal,beta,burst_mean_duration_sec,0.12177546952454163,0.11419854916999078,0.007576920354550848,0.11558347457066498,0.1103509869737969,0.005232487596868077,0.02051359639629377,0.013792303962487651,0.37083135221748004,0.21376811594202905,4020.0,0.019062349617583185,92,72,0.04169888978846322,True
temporal,beta,n_bursts,12.21376811594203,9.77199074074074,2.441777375201289,10.833333333333332,9.25,1.5833333333333321,9.083333333333332,5.03125,0.4648440414297023,0.21391908212560384,4020.5,0.01895086444007135,92,72,0.04169888978846322,True
frontal,alpha,burst_mean_duration_sec,0.19728021343280844,0.1821301629189718,0.015150050513836638,0.18966503496503495,0.18059876758211835,0.009066267382916604,0.049226269797561895,0.06146197358082067,0.34621548175253086,0.18659420289855078,3930.0,0.04074718386671612,92,72,0.08643342032333723,False
frontal,beta,burst_time_fraction,0.007251829435660923,0.00606531163891039,0.0011865177967505325,0.006874999999999933,0.005754771165635938,0.0011202288343639955,0.0037135416666666705,0.004036506062759612,0.37058763927367094,0.18025362318840576,3909.0,0.04809693282545366,92,72,0.09902309699358107,False
parietal,alpha,burst_median_duration_sec,0.1673351449275362,0.1546753472222222,0.012659797705314002,0.15616666666666668,0.1495,0.006666666666666682,0.04570833333333332,0.03453124999999996,0.366070049382533,0.17844202898550732,3903.0,0.05038708234286538,92,72,0.10077416468573076,False
occipital,alpha,burst_mean_duration_sec,0.19530128221411078,0.1828641034701647,0.012437178743946065,0.1899598591533612,0.17998459018157814,0.009975268971783052,0.04777461106228012,0.0545412520389012,0.2858194109178004,0.16817632850241537,3869.0,0.06518763207552834,92,72,0.12675372903574958,False
frontal,beta,burst_rate_per_min,3.6631193225157754,3.2110764710627446,0.4520428514530308,3.5,3.0809077610791245,0.41909223892087555,1.9375,1.7785777501617082,0.3164245231169377,0.16304347826086962,3852.0,0.073811814327208,92,72,0.13964397305147458,False
central,beta,burst_mean_duration_sec,0.1118232366855961,0.1137658230175357,-0.001942586331939597,0.10876544860368387,0.1122629777934054,-0.0034975291897215294,0.01684646016015101,0.01421441797366721,-0.13873741559338237,-0.15489130434782605,2799.0,0.0894745817767314,92,72,0.16482159800976837,False
temporal,alpha,burst_median_duration_sec,0.1426159420289855,0.13707696759259258,0.005538974436392924,0.13783333333333336,0.136125,0.0017083333333333672,0.024999999999999994,0.022000000000000006,0.26791542583887606,0.14462560386473422,3791.0,0.11283559876537776,92,72,0.20252543368144724,False
parietal,alpha,burst_mean_duration_sec,0.20459484784660378,0.19276576477877283,0.011829083067830953,0.19322395833333325,0.18759047377312454,0.005633484560208707,0.0528285546976639,0.05756833532861472,0.2503698171652822,0.13315217391304346,3753.0,0.14439953364526112,92,72,0.252699183879207,False
temporal,beta,burst_rate_per_min,3.0553099646349073,3.2413812170775103,-0.18607125244260292,2.708333333333333,3.1030981714054997,-0.39476483807216667,2.333333333333333,1.5064781295385483,-0.12977360034261717,-0.11352657004830913,2936.0,0.21337867220519036,92,72,0.36430505010642256,False
occipital,beta,burst_median_duration_sec,0.10054166666666664,0.10121874999999998,-0.000677083333333342,0.09866666666666667,0.10012499999999999,-0.0014583333333333254,0.010708333333333334,0.0084375,-0.059160172847838255,-0.11065821256038644,2945.5,0.2252098912073115,92,72,0.37534981867885253,False
frontal,beta,burst_mean_duration_sec,0.11649138044869284,0.11166743834196341,0.004823942106729429,0.11032587412587413,0.10927023820477764,0.00105563592109649,0.02082464018824312,0.010350503907856884,0.2825609635226842,0.10839371980676327,3671.0,0.23487489829989272,92,72,0.3823544856044765,False
temporal,beta,burst_time_fraction,0.006175339565564069,0.0065319776219361515,-0.0003566380563720826,0.005381944444444417,0.0062237057692301565,-0.0008417613247857399,0.0045225694444444575,0.0029101848409722967,-0.1130096834031622,-0.10416666666666663,2967.0,0.2536599449124577,92,72,0.4035499123607282,False
central,beta,burst_time_fraction,0.006558904404456428,0.006896285043633777,-0.00033738063917734904,0.0059333333333333,0.006785118123336244,-0.0008517847900029437,0.004665277777777784,0.004229920192809855,-0.09261131634010804,-0.09510869565217395,2997.0,0.2973652759866293,92,72,0.4625682070903122,False
central,beta,burst_median_duration_sec,0.10074275362318838,0.1020138888888889,-0.0012711352657005237,0.09966666666666665,0.1004375,-0.0007708333333333456,0.014500000000000013,0.008468749999999997,-0.13528375153719618,-0.08589975845410625,3027.5,0.34665229738014125,92,72,0.5275143655784759,False
occipital,beta,burst_time_fraction,0.006738600102859214,0.006045340590960266,0.0006932595118989485,0.006371564327485334,0.005397715844797181,0.0009738484826881527,0.004784027777777759,0.0038714026612680866,0.17838783548306703,0.08152173913043481,3582.0,0.3718617978300006,92,72,0.5538367201723414,False
central,beta,burst_rate_per_min,3.4114095763123227,3.5731707129484684,-0.16176113663614577,3.1875,3.502023589269195,-0.3145235892691951,2.385416666666667,2.0172611996981935,-0.09679414249991614,-0.07533212560386471,3062.5,0.40929904057435984,92,72,0.5844889809758437,False
