roi,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05,feature_block,method,abs_hedges_g
,theta,local_efficiency,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,2.8061794320520598e-06,True,Graph metrics,plv,0.8919110254938322
,theta,small_world_proxy,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,2.8061794320520598e-06,True,Graph metrics,plv,0.8919110254938322
,theta,clustering,0.3956521739130435,0.553125,-0.15747282608695645,0.39999999999999997,0.6,-0.2,0.4,0.07499999999999996,-0.8919110254938322,-0.40428743961352653,1973.0,8.184690010151842e-07,92,72,1.2277035015227764e-05,True,Connectivity,plv,0.8919110254938322
,theta,avg_shortest_path,1.1980676328502415,1.0445601851851853,0.1535074476650562,1.1666666666666665,1.0,0.16666666666666652,0.3333333333333335,0.04166666666666674,0.857128954968985,0.3902475845410629,4604.5,1.985262082288039e-06,92,72,5.955786246864117e-06,True,Graph metrics,plv,0.857128954968985
,theta,global_efficiency,0.33816425120772947,0.3087384259259259,0.029425825281803597,0.32499999999999996,0.3,0.024999999999999967,0.06666666666666665,0.006249999999999978,0.8260584696418197,0.3834541062801933,4582.0,2.981516832328639e-06,92,72,8.41840046775145e-06,True,Graph metrics,plv,0.8260584696418197
temporal,alpha,burst_time_fraction,0.03937130934632361,0.035101357212134615,0.004269952134188994,0.03961388888888884,0.035512255388061895,0.004101633500826943,0.007747916666666681,0.005806415035572783,0.8038222229675321,0.43357487922705307,4748.0,1.9693354320798135e-06,92,72,1.148779002046558e-05,True,Burst,,0.8038222229675321
temporal,alpha,burst_rate_per_min,13.810387195756189,12.737321496261945,1.0730656994942436,13.75,13.057583760460492,0.6924162395395079,1.9791666666666679,1.7046497713566175,0.7930600145834371,0.4316123188405796,4741.5,2.1852175870878985e-06,92,72,1.1766556238165607e-05,True,Burst,,0.7930600145834371
central,alpha,burst_rate_per_min,13.55175178559046,12.487644823741277,1.0641069618491823,13.5,12.586823067424415,0.9131769325755847,2.125,1.480548998617694,0.6922576704685696,0.38300120772946866,4580.5,2.6482626941933486e-05,92,72,0.0001235855923956896,True,Burst,,0.6922576704685696
temporal,alpha,dfa_exponent,0.7787965570095514,0.8252066081491107,-0.046410051139559316,0.777559395180994,0.8190212456698001,-0.04146185048880602,0.0816429957089474,0.09707055271114984,-0.680777070904312,-0.3653381642512077,2102.0,6.131495254845553e-05,92,72,0.0006131495254845553,True,DFA / LRTC,,0.680777070904312
occipital,beta,n_bursts,13.66304347826087,9.431712962962962,4.231330515297907,12.666666666666666,8.75,3.916666666666666,9.75,6.0625,0.6744079141961687,0.35854468599033806,4499.5,8.362670713731739e-05,92,72,0.0003443452646830716,True,Burst,,0.6744079141961687
occipital,alpha,burst_mean_peak_z,3.0540709681335114,3.2048828824393816,-0.15081191430587015,3.046758231754403,3.2339981398176487,-0.18723990806324586,0.36906794945587906,0.2902422023884297,-0.6576383516715962,-0.3502415458937198,2152.0,0.0001220275588547318,92,72,0.00044957521683322246,True,Burst,,0.6576383516715962
,beta,avg_shortest_path,1.1875,1.061053240740741,0.12644675925925908,1.0,1.0,0.0,0.3333333333333335,0.08333333333333326,0.6410541814247143,0.2821557971014492,4246.5,0.00047770102166405306,92,72,0.0009171859615949819,True,Graph metrics,plv,0.6410541814247143
,beta,small_world_proxy,0.4195652173913044,0.5375,-0.11793478260869555,0.6,0.6,0.0,0.3,0.07499999999999996,-0.632163288464101,-0.28879830917874394,2355.5,0.0003466285270144595,92,72,0.000693257054028919,True,Graph metrics,plv,0.632163288464101
,beta,local_efficiency,0.4195652173913044,0.5375,-0.11793478260869555,0.6,0.6,0.0,0.3,0.07499999999999996,-0.632163288464101,-0.28879830917874394,2355.5,0.0003466285270144595,92,72,0.000693257054028919,True,Graph metrics,plv,0.632163288464101
