method,band,feature,tbi_mean,control_mean,delta_tbi_minus_control,tbi_median,control_median,delta_median_tbi_minus_control,tbi_iqr,control_iqr,hedges_g,rank_biserial,u_stat,p_value,n_tbi,n_control,q_fdr,significant_fdr_0_05
plv,theta,global_efficiency,0.33816425120772947,0.3087384259259259,0.029425825281803597,0.32499999999999996,0.3,0.024999999999999967,0.06666666666666665,0.006249999999999978,0.8260584696418197,0.3834541062801933,4582.0,2.981516832328639e-06,92,72,8.41840046775145e-06,True
imcoh,theta,global_efficiency,0.43004227053140115,0.41673418209876545,0.0133080884326357,0.4388888888888889,0.4177083333333333,0.02118055555555559,0.011111111111111127,0.03437499999999999,0.5414692559428703,0.4002113526570048,4637.5,1.0341835275241849e-05,92,72,2.757822740064493e-05,True
imcoh,alpha,local_efficiency,0.015217391304347825,0.04791666666666666,-0.03269927536231884,0.0,0.0,0.0,0.0,0.075,-0.4242711351458276,-0.2247886473429952,2567.5,0.0001041552161686756,92,72,0.00024284668138197253,True
imcoh,alpha,small_world_proxy,0.015217391304347825,0.04791666666666666,-0.03269927536231884,0.0,0.0,0.0,0.0,0.075,-0.4242711351458276,-0.2247886473429952,2567.5,0.0001041552161686756,92,72,0.00024284668138197253,True
imcoh,beta,local_efficiency,0.017391304347826087,0.04375,-0.02635869565217391,0.0,0.0,0.0,0.0,0.075,-0.3330028210893215,-0.22388285024154586,2570.5,0.0001113047289667374,92,72,0.00024284668138197253,True
imcoh,beta,small_world_proxy,0.017391304347826087,0.04375,-0.02635869565217391,0.0,0.0,0.0,0.0,0.075,-0.3330028210893215,-0.22388285024154586,2570.5,0.0001113047289667374,92,72,0.00024284668138197253,True
plv,beta,local_efficiency,0.4195652173913044,0.5375,-0.11793478260869555,0.6,0.6,0.0,0.3,0.07499999999999996,-0.632163288464101,-0.28879830917874394,2355.5,0.0003466285270144595,92,72,0.000693257054028919,True
plv,beta,small_world_proxy,0.4195652173913044,0.5375,-0.11793478260869555,0.6,0.6,0.0,0.3,0.07499999999999996,-0.632163288464101,-0.28879830917874394,2355.5,0.0003466285270144595,92,72,0.000693257054028919,True
plv,beta,avg_shortest_path,1.1875,1.061053240740741,0.12644675925925908,1.0,1.0,0.0,0.3333333333333335,0.08333333333333326,0.6410541814247143,0.2821557971014492,4246.5,0.00047770102166405306,92,72,0.0009171859615949819,True
plv,beta,global_efficiency,0.33716787439613527,0.31209490740740736,0.025072966988727907,0.3,0.3,0.0,0.06666666666666665,0.012500000000000011,0.6321313170321052,0.2803442028985508,4240.5,0.0005196443085427609,92,72,0.000959343338848174,True
imcoh,alpha,global_efficiency,0.43082729468599035,0.4225308641975308,0.008296430488459572,0.4388888888888889,0.4302083333333333,0.00868055555555558,0.00833333333333336,0.025000000000000022,0.37599043916637426,0.28940217391304346,4270.5,0.0013518329712154875,92,72,0.002298622417639953,True
imcoh,theta,local_efficiency,0.03695652173913044,0.06527777777777778,-0.028321256038647345,0.0,0.0,0.0,0.0,0.15,-0.2973221961353067,-0.22342995169082125,2572.0,0.001388751043990805,92,72,0.002298622417639953,True
imcoh,theta,small_world_proxy,0.03695652173913044,0.06527777777777778,-0.028321256038647345,0.0,0.0,0.0,0.0,0.15,-0.2973221961353067,-0.22342995169082125,2572.0,0.001388751043990805,92,72,0.002298622417639953,True
imcoh,alpha,avg_shortest_path,1.5797101449275364,1.5359760802469138,0.043734064680622575,1.5833333333333335,1.5416666666666667,0.04166666666666674,0.11111111111111116,0.15104166666666652,0.43983163262388375,0.27989130434782616,4239.0,0.001899947329313303,92,72,0.0030399157269012846,True
wpli,theta,local_efficiency,0.06413043478260869,0.08749999999999998,-0.023369565217391294,0.0,0.075,-0.075,0.0,0.15,-0.18457799509153905,-0.21467391304347827,2601.0,0.005495375288081497,92,72,0.008243062932122246,True
wpli,theta,small_world_proxy,0.06413043478260869,0.08749999999999998,-0.023369565217391294,0.0,0.075,-0.075,0.0,0.15,-0.18457799509153905,-0.21467391304347827,2601.0,0.005495375288081497,92,72,0.008243062932122246,True
wpli,alpha,local_efficiency,0.053260869565217396,0.07916666666666666,-0.025905797101449267,0.0,0.0,0.0,0.0,0.15,-0.20591878419711065,-0.18387681159420288,2703.0,0.010213540085306746,92,72,0.014419115414550699,True
wpli,alpha,small_world_proxy,0.053260869565217396,0.07916666666666666,-0.025905797101449267,0.0,0.0,0.0,0.0,0.15,-0.20591878419711065,-0.18387681159420288,2703.0,0.010213540085306746,92,72,0.014419115414550699,True
imcoh,theta,avg_shortest_path,1.5404589371980677,1.507716049382716,0.03274288781535173,1.5555555555555556,1.5208333333333335,0.0347222222222221,0.12500000000000022,0.125,0.2978931771902098,0.22901570048309172,4070.5,0.011378615804782367,92,72,0.015067712445155416,True
wpli,beta,local_efficiency,0.04565217391304347,0.056249999999999994,-0.010597826086956523,0.0,0.0,0.0,0.0,0.15,-0.10782692692983359,-0.17919685990338163,2718.5,0.0116146950098073,92,72,0.015067712445155416,True
wpli,beta,small_world_proxy,0.04565217391304347,0.056249999999999994,-0.010597826086956523,0.0,0.0,0.0,0.0,0.15,-0.10782692692983359,-0.17919685990338163,2718.5,0.0116146950098073,92,72,0.015067712445155416,True
